V2	V(n002)	V(n003)	V(n004)
3.475000000000000e+00	-1.727944e+00	5.252452e-01	3.481797e+00
3.500000000000000e+00	-1.745322e+00	5.146101e-01	3.476755e+00
3.525000000000000e+00	-1.762700e+00	5.039749e-01	3.471712e+00
3.550000000000000e+00	-1.780079e+00	4.933396e-01	3.466670e+00
3.575000000000000e+00	-1.797457e+00	4.827044e-01	3.461627e+00
3.600000000000000e+00	-1.814835e+00	4.720692e-01	3.456584e+00
3.625000000000000e+00	-1.832213e+00	4.614340e-01	3.451542e+00
3.650000000000000e+00	-1.849591e+00	4.507988e-01	3.446499e+00
3.675000000000000e+00	-1.866969e+00	4.401636e-01	3.441457e+00
3.700000000000000e+00	-1.884348e+00	4.295284e-01	3.436414e+00
3.725000000000000e+00	-1.901726e+00	4.188932e-01	3.431372e+00
3.750000000000000e+00	-1.919104e+00	4.082580e-01	3.426329e+00
3.775000000000000e+00	-1.936482e+00	3.976228e-01	3.421287e+00
3.800000000000000e+00	-1.953860e+00	3.869876e-01	3.416244e+00
3.825000000000000e+00	-1.971238e+00	3.763524e-01	3.411201e+00
3.850000000000000e+00	-1.988617e+00	3.657172e-01	3.406159e+00
3.875000000000000e+00	-2.005995e+00	3.550820e-01	3.401116e+00
3.900000000000000e+00	-2.023373e+00	3.444468e-01	3.396074e+00
3.925000000000000e+00	-2.040751e+00	3.338116e-01	3.391031e+00
3.950000000000000e+00	-2.058129e+00	3.231764e-01	3.385989e+00
3.975000000000000e+00	-2.075507e+00	3.125412e-01	3.380946e+00
4.000000000000000e+00	-2.092885e+00	3.019060e-01	3.375904e+00
4.025000000000000e+00	-2.110264e+00	2.912708e-01	3.370861e+00
4.050000000000000e+00	-2.127642e+00	2.806356e-01	3.365819e+00
4.075000000000000e+00	-2.145020e+00	2.700004e-01	3.360776e+00
4.100000000000001e+00	-2.162398e+00	2.593652e-01	3.355733e+00
4.125000000000000e+00	-2.179776e+00	2.487300e-01	3.350691e+00
4.150000000000000e+00	-2.197155e+00	2.380948e-01	3.345648e+00
4.175000000000000e+00	-2.214533e+00	2.274596e-01	3.340606e+00
4.200000000000000e+00	-2.231911e+00	2.168244e-01	3.335563e+00
4.225000000000001e+00	-2.249289e+00	2.061892e-01	3.330521e+00
4.250000000000000e+00	-2.266667e+00	1.955540e-01	3.325478e+00
4.275000000000000e+00	-2.284045e+00	1.849188e-01	3.320436e+00
4.300000000000000e+00	-2.301424e+00	1.742836e-01	3.315393e+00
4.325000000000000e+00	-2.318802e+00	1.636484e-01	3.310350e+00
4.350000000000001e+00	-2.336180e+00	1.530132e-01	3.305308e+00
4.375000000000000e+00	-2.353558e+00	1.423780e-01	3.300265e+00
4.400000000000000e+00	-2.370936e+00	1.317428e-01	3.295223e+00
4.425000000000000e+00	-2.388314e+00	1.211076e-01	3.290180e+00
4.450000000000000e+00	-2.405693e+00	1.104724e-01	3.285138e+00
4.475000000000001e+00	-2.423071e+00	9.983715e-02	3.280095e+00
4.500000000000000e+00	-2.440449e+00	8.920195e-02	3.275053e+00
4.525000000000000e+00	-2.457827e+00	7.856674e-02	3.270010e+00
4.550000000000000e+00	-2.475205e+00	6.793155e-02	3.264967e+00
4.575000000000000e+00	-2.492583e+00	5.729634e-02	3.259925e+00
4.600000000000001e+00	-2.509962e+00	4.666114e-02	3.254882e+00
4.625000000000000e+00	-2.527340e+00	3.602594e-02	3.249840e+00
4.650000000000000e+00	-2.544718e+00	2.539074e-02	3.244797e+00
4.675000000000000e+00	-2.562096e+00	1.475553e-02	3.239755e+00
4.700000000000000e+00	-2.579474e+00	4.120332e-03	3.234712e+00
4.725000000000001e+00	-2.596852e+00	-6.514871e-03	3.229670e+00
4.750000000000000e+00	-2.614230e+00	-1.715007e-02	3.224627e+00
4.775000000000000e+00	-2.631609e+00	-2.778528e-02	3.219584e+00
4.800000000000001e+00	-2.648987e+00	-3.842048e-02	3.214542e+00
4.825000000000000e+00	-2.666365e+00	-4.905568e-02	3.209499e+00
4.850000000000001e+00	-2.683743e+00	-5.969088e-02	3.204457e+00
4.875000000000000e+00	-2.701121e+00	-7.032608e-02	3.199414e+00
4.900000000000000e+00	-2.718499e+00	-8.096129e-02	3.194372e+00
4.925000000000001e+00	-2.735878e+00	-9.159649e-02	3.189329e+00
4.950000000000000e+00	-2.753256e+00	-1.022317e-01	3.184287e+00
4.975000000000001e+00	-2.770634e+00	-1.128669e-01	3.179244e+00
5.000000000000000e+00	-2.788012e+00	-1.235021e-01	3.174201e+00
