;Scopy version,b3d077f6
;Exported on,Thursday April 17/04/2025
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
469,22250.9,-11.1189,151.239
470,22508.8,-11.1103,150.457
471,22769.7,-11.0611,150.857
472,23033.6,-11.2624,150.115
473,23300.6,-11.1321,149.482
474,23570.7,-11.1655,149.194
475,23843.9,-11.2228,148.81
476,24120.3,-11.4561,148.203
477,24399.9,-11.5009,147.935
478,24682.7,-11.4521,147.243
479,24968.8,-11.5101,146.917
480,25258.2,-11.5527,146.558
481,25551,-11.5921,145.718
482,25847.1,-11.6022,145.51
483,26146.7,-11.6921,144.63
484,26449.8,-11.6845,144.888
485,26756.4,-11.7163,144.136
486,27066.5,-11.941,144.383
487,27380.3,-11.9083,143.306
488,27697.6,-12.0012,142.843
489,28018.7,-12.0364,142.036
490,28343.4,-12.1417,141.664
491,28672,-12.1777,142.286
492,29004.3,-12.2938,142.043
493,29340.5,-12.2574,140.963
494,29680.6,-12.4266,140.628
495,30024.6,-12.3483,139.259
496,30372.6,-12.2859,139.396
497,30724.7,-12.4958,139.061
498,31080.8,-12.4724,138.229
499,31441.1,-12.7292,138.072
500,31805.5,-12.6918,138.806
501,32174.2,-12.7483,137.591
502,32547.1,-12.8166,137.651
503,32924.4,-12.9788,136.434
504,33306,-12.8932,136.225
505,33692.1,-13.0202,135.554
506,34082.6,-12.9481,134.715
507,34477.6,-13.0985,135.197
508,34877.3,-13.1022,134.305
509,35281.5,-13.3732,134.638
510,35690.5,-13.3008,133.895
511,36104.2,-13.4329,134.086
512,36522.7,-13.3831,132.115
513,36946,-13.4809,132.658
514,37374.3,-13.5333,133.303
515,37807.5,-13.5161,133.23
516,38245.7,-13.734,131.351
517,38689,-13.9325,131.355
518,39137.5,-13.815,130.806
519,39591.1,-13.9114,129.78
520,40050,-13.8847,131.566
521,40514.2,-13.9323,129.995
522,40983.8,-14.201,130.766
523,41458.9,-14.1317,128.909
524,41939.4,-14.386,127.91
525,42425.6,-14.2737,128.469
526,42917.3,-14.3807,127.079
527,43414.8,-14.4416,127.861
528,43918,-14.4133,128.16
529,44427.1,-14.6257,127.193
530,44942,-14.598,127.823
531,45463,-14.5291,126.966
532,45989.9,-14.6978,126.691
533,46523,-15.1831,126.013
534,47062.2,-15.0001,124.544
535,47607.8,-15.0743,125.276
536,48159.6,-14.9781,124.929
537,48717.8,-15.2036,123.878
538,49282.5,-15.1439,124.91
539,49853.7,-15.438,124.149
540,50431.6,-15.6305,124.544
541,51016.2,-15.5522,123.999
542,51607.5,-15.7519,122.626
543,52205.7,-15.636,122.579
544,52810.8,-15.8754,121.991
545,53422.9,-15.89,121.397
546,54042.2,-15.9555,121.987
547,54668.6,-16.1872,121.776
548,55302.2,-16.0929,122.082
549,55943.3,-16.2384,122.098
550,56591.7,-16.1484,121.228
551,57247.7,-16.4132,121.066
552,57911.2,-16.5322,121.022
553,58582.5,-16.5115,120.545
554,59261.5,-16.4706,120.382
555,59948.4,-16.6499,120.627
556,60643.3,-16.7299,119.533
557,61346.2,-16.945,119.925
558,62057.3,-17.0019,119.236
559,62776.6,-17.0657,118.447
560,63504.3,-17.1802,117.668
561,64240.3,-17.1632,118.721
562,64985,-17.3392,118.361
563,65738.2,-17.5056,117.372
564,66500.2,-17.3835,117.558
565,67271,-17.5163,116.576
566,68050.7,-17.4579,116.809
567,68839.5,-17.6799,117.089
568,69637.4,-17.8696,117.155
569,70444.6,-17.9258,115.435
570,71261.2,-18.0016,116.321
571,72087.2,-18.1196,116.213
572,72922.7,-17.9936,115.155
573,73768,-18.2934,115.513
574,74623,-18.3039,115.429
575,75488,-18.5172,114.535
576,76363,-18.5502,114.464
577,77248.1,-18.605,114.614
578,78143.5,-18.7338,115.098
579,79049.3,-18.814,115.503
580,79965.5,-18.8344,114.338
581,80892.4,-18.9174,114.385
582,81830.1,-18.9369,114.881
583,82778.6,-18.9913,114.004
584,83738.1,-19.0885,113.585
585,84708.7,-19.2974,114.034
586,85690.6,-19.1876,113.578
587,86683.8,-19.4184,113.402
588,87688.6,-19.5096,113.117
589,88705,-19.5936,112.201
590,89733.2,-19.7422,111.481
591,90773.3,-19.776,112.572
592,91825.4,-19.9969,112.305
593,92889.8,-19.9743,112.759
594,93966.5,-20.1638,112.862
595,95055.7,-20.2062,111.52
596,96157.5,-20.3756,111.168
597,97272,-20.4761,111.731
598,98399.5,-20.6672,110.848
599,99540.1,-20.6608,111.472
600,100694,-20.627,111.669
601,101861,-20.7446,110.914
602,103042,-20.8735,111.041
603,104236,-20.9527,111.01
604,105444,-21.0668,110.921
605,106666,-21.1661,110.326
606,107903,-21.2123,110.57
607,109154,-21.2292,109.897
608,110419,-21.4848,110.932
609,111699,-21.587,110.051
610,112993,-21.5821,109.573
611,114303,-21.593,110.041
612,115628,-21.8462,109.256
613,116968,-21.9908,109.706
614,118324,-21.9775,110.09
615,119696,-22.1812,109.265
616,121083,-22.0781,109.539
617,122486,-22.2224,109.678
618,123906,-22.294,108.841
619,125342,-22.3394,108.983
620,126795,-22.5437,108.697
621,128265,-22.5192,108.9
622,129752,-22.6478,108.893
623,131256,-22.7393,109.091
624,132777,-22.8839,108.195
625,134316,-23.0213,108.017
626,135873,-23.0108,108.502
