;Scopy version,b3d077f6
;Exported on,Saturday April 12/04/2025
;Device,M2K
;Nr of samples,2000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
295,3893.1,-18.6281,132.881
296,3911.08,-18.5092,132.729
297,3929.14,-18.6096,133.42
298,3947.28,-18.2749,133.398
299,3965.51,-18.366,131.997
300,3983.82,-18.2486,131.945
301,4002.22,-17.9728,132.589
302,4020.7,-17.9768,132.802
303,4039.27,-18.1253,131.374
304,4057.93,-17.9233,130.974
305,4076.67,-17.8674,131.374
306,4095.49,-17.935,130.052
307,4114.41,-17.7922,131.963
308,4133.41,-17.6776,130.08
309,4152.5,-17.6354,130.452
310,4171.67,-17.7339,129.596
311,4190.94,-17.2994,129.998
312,4210.29,-17.3086,130.814
313,4229.73,-17.4005,129.969
314,4249.27,-17.2389,129.747
315,4268.89,-17.4264,130.248
316,4288.61,-17.249,130.19
317,4308.41,-17.1664,129.136
318,4328.31,-17.0008,128.551
319,4348.3,-17.0895,130.388
320,4368.38,-16.7796,127.413
321,4388.55,-16.9392,128.919
322,4408.82,-16.6413,127.961
323,4429.18,-16.632,128.281
324,4449.63,-16.8454,128.951
325,4470.18,-16.3694,128.416
326,4490.83,-16.4112,126.571
327,4511.56,-16.2992,127.466
328,4532.4,-16.2927,127.026
329,4553.33,-16.5325,127.669
330,4574.36,-16.0119,127.499
331,4595.48,-16.0609,125.672
332,4616.71,-16.0368,125.749
333,4638.03,-15.9597,126.281
334,4659.44,-15.7443,125.436
335,4680.96,-15.8117,124.399
336,4702.58,-15.9719,125.698
337,4724.3,-15.778,124.774
338,4746.11,-15.6947,124.964
339,4768.03,-15.8566,124.079
340,4790.05,-15.6634,123.581
341,4812.17,-15.3187,124.627
342,4834.4,-15.4706,125.291
343,4856.72,-15.3002,124.296
344,4879.15,-15.1009,123.218
345,4901.68,-15.4776,123.815
346,4924.32,-15.3649,123.813
347,4947.06,-15.1667,124.49
348,4969.91,-15.0514,123.941
349,4992.86,-14.9789,123.29
350,5015.92,-14.8539,123.568
351,5039.08,-14.9421,121.962
352,5062.35,-14.649,122.844
353,5085.73,-14.6272,122.11
354,5109.21,-14.6439,122.508
355,5132.81,-14.73,121.931
356,5156.51,-14.4433,122.226
357,5180.33,-14.3475,122.131
358,5204.25,-14.5319,121.821
359,5228.28,-14.267,121.483
360,5252.43,-14.2528,121.015
361,5276.69,-14.2733,121.649
362,5301.05,-14.0305,120.531
363,5325.53,-14.0158,121.124
364,5350.13,-13.9176,120.477
365,5374.84,-14.0093,119.432
366,5399.66,-13.8953,119.662
367,5424.59,-13.993,119.446
368,5449.64,-13.9351,119.033
369,5474.81,-13.8832,119.097
370,5500.09,-13.5431,119.011
371,5525.49,-13.6816,118.551
372,5551.01,-13.5651,118.5
373,5576.65,-13.4391,118.602
374,5602.4,-13.415,117.118
375,5628.27,-13.2197,117.632
376,5654.27,-13.2069,118.243
377,5680.38,-13.2751,117.999
378,5706.61,-13.1659,117.179
379,5732.96,-13.0949,117.606
380,5759.44,-13.0611,117.812
381,5786.04,-12.9,115.801
382,5812.76,-13.0847,116.106
383,5839.6,-12.969,115.739
384,5866.57,-12.795,115.758
385,5893.66,-12.7612,115.997
386,5920.88,-12.8223,115.17
387,5948.22,-12.8019,115.607
388,5975.69,-12.4462,114.656
389,6003.29,-12.6678,114.924
390,6031.01,-12.5386,114.408
391,6058.86,-12.4174,114.409
392,6086.84,-12.4638,114.042
393,6114.95,-12.2039,113.396
394,6143.19,-12.1917,114.833
395,6171.56,-12.2187,114.555
396,6200.06,-12.2295,113.614
397,6228.7,-12.0895,113.429
398,6257.46,-12.0491,113.099
399,6286.36,-12.0433,112.902
400,6315.39,-12.0316,112.643
401,6344.56,-11.791,111.139
402,6373.86,-11.7713,110.923
403,6403.29,-11.7001,112.486
404,6432.86,-11.7061,111.598
405,6462.57,-11.6538,111.444
406,6492.41,-11.548,111.764
407,6522.4,-11.3528,110.88
408,6552.52,-11.2968,110.176
409,6582.78,-11.2765,109.635
410,6613.18,-11.4149,109.66
411,6643.72,-11.2947,110.292
412,6674.4,-11.2563,109.942
413,6705.22,-11.2037,109.187
414,6736.19,-11.0189,108.78
415,6767.3,-11.1194,108.064
416,6798.55,-11.1638,109.004
417,6829.95,-11.0406,109.289
418,6861.49,-10.8169,108.684
419,6893.17,-10.8357,108.141
420,6925.01,-10.8142,108.076
421,6956.99,-10.7673,107.161
422,6989.12,-10.7584,108.204
423,7021.39,-10.7197,106.302
424,7053.82,-10.5248,108.035
425,7086.39,-10.5188,107.517
426,7119.12,-10.4059,106.703
427,7152,-10.4606,106.046
428,7185.02,-10.3575,106.165
429,7218.21,-10.231,106.34
430,7251.54,-10.1001,105.798
431,7285.03,-10.0408,104.697
432,7318.67,-10.1411,106.15
433,7352.47,-10.033,105.573
434,7386.42,-10.0741,104.646
435,7420.53,-10.0239,105.056
436,7454.8,-9.93543,104.18
437,7489.23,-9.95762,103.851
438,7523.82,-9.96179,103.594
439,7558.56,-9.77722,104.532
440,7593.47,-9.87885,103.256
441,7628.54,-9.56384,103.556
442,7663.77,-9.57722,102.352
443,7699.16,-9.53473,102.104
444,7734.71,-9.50534,101.996
445,7770.43,-9.43707,101.74
446,7806.32,-9.52539,101.963
447,7842.37,-9.23677,100.754
448,7878.58,-9.14232,100.901
449,7914.97,-9.3994,100.547
450,7951.52,-9.30087,101.149
451,7988.24,-9.17549,100.698
452,8025.13,-9.1901,101.089
453,8062.19,-9.06381,99.9891
454,8099.43,-8.95674,99.692
455,8136.83,-9.07418,99.973
456,8174.41,-8.88246,100.458
457,8212.16,-9.03372,98.6172
458,8250.08,-8.91767,99.6094
459,8288.18,-8.80412,98.0463
460,8326.46,-8.7096,98.3058
461,8364.91,-8.66338,99.0536
462,8403.54,-8.61523,97.6013
463,8442.35,-8.57703,97.9572
464,8481.34,-8.50256,98.0455
465,8520.5,-8.32956,97.5882
466,8559.85,-8.53122,97.8858
467,8599.38,-8.33512,95.5979
468,8639.09,-8.43835,96.0878
469,8678.99,-8.26494,96.2277
470,8719.07,-8.16612,96.7596
471,8759.34,-8.115,95.8854
472,8799.79,-8.15272,95.2296
473,8840.43,-8.06966,94.7866
474,8881.25,-8.01528,93.9773
475,8922.27,-8.08865,95.7263
476,8963.47,-7.91393,93.183
477,9004.87,-7.90732,93.1667
478,9046.45,-7.79535,94.0047
479,9088.23,-7.82934,93.6235
480,9130.2,-7.686,92.8967
481,9172.36,-7.67862,93.6693
482,9214.72,-7.67466,92.8571
483,9257.28,-7.64873,92.2228
484,9300.03,-7.71314,92.8734
485,9342.98,-7.6295,93.1985
486,9386.12,-7.33806,92.0282
487,9429.47,-7.42737,90.6339
488,9473.02,-7.38975,91.9378
489,9516.76,-7.38636,91.0274
490,9560.71,-7.45953,92.104
491,9604.86,-7.18093,91.0615
492,9649.22,-7.26869,90.8397
493,9693.78,-7.23166,90.1476
494,9738.55,-7.13184,90.4855
495,9783.52,-6.9767,89.6289
496,9828.7,-7.1114,88.1359
497,9874.09,-6.9794,90.1713
498,9919.69,-7.13361,89.1523
499,9965.5,-6.90209,88.6928
500,10011.5,-6.95811,88.403
501,10057.8,-6.91566,87.7911
502,10104.2,-6.84767,87.8441
503,10150.9,-6.888,87.4347
504,10197.7,-6.79331,87.561
505,10244.8,-6.79458,87.2188
506,10292.2,-6.69311,87.1674
507,10339.7,-6.66797,86.8892
508,10387.4,-6.60503,86.8077
509,10435.4,-6.53775,86.1791
510,10483.6,-6.51679,86.4077
511,10532,-6.49565,85.6145
512,10580.6,-6.43576,85.9026
513,10629.5,-6.42317,85.3479
514,10678.6,-6.34281,84.4267
515,10727.9,-6.34967,84.9865
516,10777.5,-6.29635,84.5541
517,10827.2,-6.33742,84.1058
518,10877.2,-6.21477,83.8987
519,10927.5,-6.26371,83.6841
520,10977.9,-6.15528,83.3297
521,11028.6,-6.06744,83.4036
522,11079.6,-6.12679,82.8267
523,11130.7,-6.00019,82.414
524,11182.1,-6.03947,82.9113
525,11233.8,-5.94654,82.0374
526,11285.6,-5.87884,82.1897
527,11337.8,-5.92248,81.8696
528,11390.1,-5.87297,81.1919
529,11442.7,-5.85266,80.7332
530,11495.6,-5.76598,80.7724
531,11548.7,-5.65389,80.7139
532,11602,-5.49915,80.2698
533,11655.6,-5.45479,79.5062
534,11709.4,-5.51511,79.271
535,11763.5,-5.40122,79.243
536,11817.8,-5.3114,78.6148
537,11872.4,-5.31022,79.0045
538,11927.2,-5.32349,78.3763
539,11982.3,-5.27777,77.7072
540,12037.6,-5.21956,77.8566
541,12093.2,-5.168,78.0386
542,12149,-5.1498,77.1827
543,12205.2,-5.12848,77.0902
544,12261.5,-5.00329,76.6119
545,12318.1,-5.10259,76.6223
546,12375,-4.98872,76.5257
547,12432.2,-4.98351,76.8482
548,12489.6,-4.97338,75.8233
549,12547.3,-4.97493,75.5777
550,12605.2,-4.97388,75.2729
551,12663.4,-4.82073,74.7118
552,12721.9,-4.8427,74.9793
553,12780.7,-4.80367,75.0823
554,12839.7,-4.79524,75.048
555,12899,-4.7351,74.129
556,12958.5,-4.68993,73.9785
557,13018.4,-4.67826,73.2834
558,13078.5,-4.56836,73.3899
559,13138.9,-4.60012,73.1008
560,13199.6,-4.65917,72.8586
561,13260.5,-4.56137,72.1292
562,13321.8,-4.52474,72.251
563,13383.3,-4.53684,71.938
564,13445.1,-4.47311,71.3707
565,13507.2,-4.43457,71.4923
566,13569.6,-4.44592,71.1972
567,13632.2,-4.30937,71.2753
568,13695.2,-4.34863,70.7604
569,13758.4,-4.30653,70.4996
570,13822,-4.23214,70.2181
571,13885.8,-4.26237,70.0592
572,13949.9,-4.24911,70.2252
573,14014.4,-4.29296,69.4506
574,14079.1,-4.18221,69.3113
575,14144.1,-4.12581,69.3371
576,14209.4,-4.05487,69.1376
577,14275,-4.09835,68.6496
578,14341,-4.03016,68.548
579,14407.2,-4.15137,68.0907
580,14473.7,-4.02585,67.908
581,14540.6,-4.05767,67.4948
582,14607.7,-3.96136,68.1836
583,14675.2,-3.94911,66.8517
584,14742.9,-3.99663,66.6466
585,14811,-3.90545,66.6121
586,14879.4,-3.91885,66.6953
587,14948.1,-3.92187,66.6851
588,15017.2,-3.80824,65.7852
589,15086.5,-3.78701,66.1594
590,15156.2,-3.83808,64.7891
591,15226.2,-3.72308,65.0994
592,15296.5,-3.77428,65.5923
593,15367.1,-3.74185,64.5681
594,15438.1,-3.77744,64.5087
595,15509.4,-3.7072,65.0205
596,15581,-3.63872,63.6885
597,15653,-3.73207,63.3942
598,15725.3,-3.62567,63.5777
599,15797.9,-3.67404,63.0213
600,15870.9,-3.59357,62.9762
601,15944.1,-3.60965,62.5356
602,16017.8,-3.44907,62.6127
603,16091.8,-3.5018,62.137
604,16166.1,-3.44548,62.3385
605,16240.7,-3.50631,61.6761
606,16315.7,-3.45068,61.2193
607,16391.1,-3.47181,61.3018
608,16466.8,-3.42849,61.5141
609,16542.8,-3.45169,61.6796
610,16619.2,-3.4494,60.7582
611,16696,-3.32096,60.7483
612,16773.1,-3.39831,59.9373
613,16850.5,-3.37556,59.4304
614,16928.3,-3.36836,59.6375
615,17006.5,-3.29869,59.9485
616,17085.1,-3.32864,59.1859
617,17164,-3.3095,58.6191
618,17243.2,-3.41736,58.7861
619,17322.8,-3.23053,58.7436
620,17402.8,-3.19978,59.0756
621,17483.2,-3.30022,58.1054
622,17564,-3.13594,58.1299
623,17645.1,-3.20479,57.8574
624,17726.6,-3.11099,57.4955
625,17808.4,-3.17653,57.3487
626,17890.7,-3.28881,57.0538
627,17973.3,-3.12958,56.619
628,18056.3,-3.16771,55.854
629,18139.7,-3.13547,55.9371
630,18223.4,-3.22289,56.3081
631,18307.6,-3.10371,55.5124
632,18392.1,-3.18159,55.1744
633,18477.1,-3.11147,55.3702
634,18562.4,-3.14009,54.5804
635,18648.1,-3.03018,54.8115
636,18734.3,-3.07274,55.2943
637,18820.8,-3.05917,54.461
638,18907.7,-3.05004,53.4809
639,18995,-3.0406,53.6501
640,19082.7,-3.09765,53.262
641,19170.8,-2.95169,53.2601
642,19259.4,-3.09097,52.9268
643,19348.3,-2.96972,52.5426
644,19437.7,-2.9243,51.9646
645,19527.4,-2.99974,52.1998
646,19617.6,-3.05509,51.7342
647,19708.2,-2.88534,51.604
648,19799.2,-2.92114,51.6139
649,19890.7,-2.84252,51.6621
650,19982.5,-2.90215,51.1828
651,20074.8,-2.81313,50.8952
652,20167.5,-2.88689,50.7386
653,20260.6,-2.84371,50.9865
654,20354.2,-2.84571,49.9957
655,20448.2,-2.81162,49.2523
656,20542.6,-2.84192,49.7597
657,20637.5,-2.767,49.7603
658,20732.8,-2.80047,48.7408
659,20828.6,-2.85477,48.6308
660,20924.8,-2.84318,48.99
661,21021.4,-2.86069,48.0282
662,21118.5,-2.86502,47.2587
663,21216,-2.87425,47.5586
664,21314,-2.89785,47.9788
665,21412.4,-2.85819,47.3021
666,21511.3,-2.69891,46.5829
667,21610.6,-2.85443,46.8827
668,21710.4,-2.82314,46.1906
669,21810.7,-2.87605,46.4171
670,21911.4,-2.78526,45.3689
671,22012.6,-2.84534,46.0353
672,22114.3,-2.80713,45.3571
673,22216.4,-2.82102,44.6492
674,22319,-2.72393,44.4993
675,22422.1,-2.79498,43.9679
676,22525.6,-2.7329,44.3661
677,22629.6,-2.76047,43.521
678,22734.1,-2.69625,43.6156
679,22839.1,-2.85819,43.295
680,22944.6,-2.7876,42.6331
681,23050.6,-2.71314,42.3381
682,23157,-2.8663,42.2082
683,23263.9,-2.96153,41.6444
684,23371.4,-2.82117,41.9352
685,23479.3,-2.81577,41.3039
686,23587.7,-2.71971,40.5747
687,23696.7,-2.76681,40.3952
688,23806.1,-2.81642,40.227
689,23916,-2.89184,40.2337
690,24026.5,-2.78385,39.7081
691,24137.4,-2.72693,39.1133
692,24248.9,-2.77646,38.8519
693,24360.9,-2.81697,38.6597
694,24473.4,-2.8445,39.1759
695,24586.4,-2.78313,38.1075
696,24700,-2.84842,38.8492
697,24814,-2.76494,37.8143
698,24928.6,-2.87006,37.1909
699,25043.7,-2.93477,36.8285
700,25159.4,-2.78421,36.6415
701,25275.6,-2.83121,36.2679
702,25392.3,-2.96719,36.1831
703,25509.6,-2.83193,35.3347
704,25627.4,-2.86111,35.4129
705,25745.7,-2.90165,34.4795
706,25864.6,-2.8955,34.9643
707,25984.1,-3.01627,34.1827
708,26104.1,-2.96994,33.7614
709,26224.6,-2.85044,33.7832
710,26345.7,-2.94073,34.1135
711,26467.4,-2.93056,33.4883
712,26589.6,-2.87654,32.8668
713,26712.4,-2.93989,33.1832
714,26835.8,-2.88326,32.4757
715,26959.7,-2.92425,31.59
716,27084.2,-2.92601,31.0229
717,27209.3,-2.89765,30.8491
718,27335,-2.97351,30.7007
719,27461.2,-2.985,31.0614
720,27588,-3.03708,30.1687
721,27715.4,-3.00078,29.6315
722,27843.4,-2.89817,29.2661
723,27972,-3.07903,28.8983
724,28101.2,-3.01412,28.619
725,28230.9,-3.03732,29.0444
726,28361.3,-2.97529,28.0804
727,28492.3,-3.06868,27.5363
728,28623.9,-3.11905,27.4653
729,28756.1,-3.02667,27.2396
730,28888.9,-3.06157,26.6163
731,29022.3,-3.00998,26.5302
732,29156.3,-3.0721,25.5033
733,29290.9,-3.11806,25.8099
734,29426.2,-3.27932,25.2638
735,29562.1,-3.17589,24.4131
736,29698.6,-3.17183,24.8293
737,29835.8,-3.17428,24.2574
738,29973.6,-3.22862,24.2261
739,30112,-3.25627,23.7514
740,30251,-3.22827,23.201
741,30390.7,-3.26845,22.9458
742,30531.1,-3.31781,22.407
743,30672.1,-3.24217,22.2814
744,30813.7,-3.26541,21.6588
745,30956,-3.27987,21.1087
746,31099,-3.31279,21.0207
747,31242.6,-3.33284,20.9307
748,31386.9,-3.37802,20.897
749,31531.8,-3.33941,20.4014
750,31677.5,-3.40655,19.9379
751,31823.8,-3.39518,20.0918
752,31970.7,-3.41611,19.0252
753,32118.4,-3.45397,18.8221
754,32266.7,-3.48789,18.4774
755,32415.7,-3.49842,18.0242
756,32565.4,-3.47923,17.8766
757,32715.8,-3.55492,17.5001
758,32866.9,-3.48688,16.9613
759,33018.7,-3.55627,16.6478
760,33171.1,-3.60975,16.5681
761,33324.3,-3.62349,16.0964
762,33478.2,-3.71811,16.1359
763,33632.8,-3.69005,15.0325
