time	I(C1)	I(L1)	I(R2)
6.526298735759223e-03	-3.500641e-03	1.473284e+00	-3.021690e-02
6.573731771473508e-03	-4.106938e-03	1.474174e+00	-2.993361e-02
6.621164807187793e-03	-4.661577e-03	1.475053e+00	-2.960841e-02
6.668597842902077e-03	-5.164558e-03	1.475924e+00	-2.924128e-02
6.716030878616362e-03	-5.615879e-03	1.476784e+00	-2.883224e-02
6.763463914330647e-03	-6.015542e-03	1.477635e+00	-2.838129e-02
6.831823289330645e-03	-6.511371e-03	1.478836e+00	-2.767578e-02
6.900182664330644e-03	-6.940813e-03	1.480003e+00	-2.693839e-02
6.968542039330642e-03	-7.303870e-03	1.481135e+00	-2.616911e-02
7.036901414330641e-03	-7.600541e-03	1.482233e+00	-2.536794e-02
7.105260789330639e-03	-7.830827e-03	1.483296e+00	-2.453489e-02
7.173620164330638e-03	-7.994727e-03	1.484325e+00	-2.366996e-02
7.241979539330637e-03	-8.092241e-03	1.485319e+00	-2.277314e-02
7.328475075044920e-03	-8.147689e-03	1.486518e+00	-2.162987e-02
7.414970610759204e-03	-8.155908e-03	1.487657e+00	-2.049942e-02
7.501466146473488e-03	-8.116900e-03	1.488735e+00	-1.938177e-02
7.587961682187772e-03	-8.030664e-03	1.489754e+00	-1.827693e-02
7.674457217902056e-03	-7.897199e-03	1.490713e+00	-1.718490e-02
7.760952753616340e-03	-7.716507e-03	1.491611e+00	-1.610567e-02
7.847448289330624e-03	-7.488587e-03	1.492450e+00	-1.503925e-02
7.949289807187765e-03	-7.194562e-03	1.493359e+00	-1.383565e-02
8.051131325044905e-03	-6.888691e-03	1.494202e+00	-1.268653e-02
8.152972842902046e-03	-6.570972e-03	1.494979e+00	-1.159187e-02
8.254814360759186e-03	-6.241405e-03	1.495690e+00	-1.055167e-02
8.356655878616327e-03	-5.899991e-03	1.496334e+00	-9.565947e-03
8.458497396473467e-03	-5.546731e-03	1.496912e+00	-8.634689e-03
8.560338914330608e-03	-5.181622e-03	1.497424e+00	-7.757899e-03
8.677526414330606e-03	-4.774540e-03	1.497944e+00	-6.830866e-03
8.794713914330603e-03	-4.382763e-03	1.498411e+00	-5.971894e-03
8.911901414330601e-03	-4.006290e-03	1.498826e+00	-5.180984e-03
9.029088914330598e-03	-3.645122e-03	1.499187e+00	-4.458135e-03
9.146276414330596e-03	-3.299258e-03	1.499496e+00	-3.803348e-03
9.263463914330593e-03	-2.968699e-03	1.499752e+00	-3.216623e-03
9.380651414330591e-03	-2.653444e-03	1.499956e+00	-2.697960e-03
9.430874628616304e-03	-2.526371e-03	1.500036e+00	-2.490610e-03
9.481097842902018e-03	-2.402995e-03	1.500111e+00	-2.292579e-03
9.531321057187731e-03	-2.283315e-03	1.500180e+00	-2.103868e-03
9.581544271473444e-03	-2.167333e-03	1.500243e+00	-1.924477e-03
9.631767485759158e-03	-2.055047e-03	1.500301e+00	-1.754406e-03
9.681990700044871e-03	-1.946458e-03	1.500353e+00	-1.593654e-03
9.732213914330583e-03	-1.841566e-03	1.500400e+00	-1.442222e-03
9.770469069426215e-03	-1.764146e-03	1.500432e+00	-1.332199e-03
9.808724224521845e-03	-1.688773e-03	1.500463e+00	-1.226537e-03
9.846979379617477e-03	-1.615447e-03	1.500491e+00	-1.125237e-03
9.885234534713107e-03	-1.544167e-03	1.500516e+00	-1.028299e-03
9.923489689808739e-03	-1.474934e-03	1.500540e+00	-9.357230e-04
9.961744844904368e-03	-1.407747e-03	1.500561e+00	-8.475085e-04
1.000000000000000e-02	-1.342608e-03	1.500579e+00	-7.636559e-04
