;Scopy version,8ade0b5a
;Exported on,Friday March 21/03/2025
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
512,11221.5,8.49941,-13.5254
513,11325.4,8.47665,-13.7042
514,11430.3,8.48121,-13.7944
515,11536.2,8.48608,-14.063
516,11643,8.49407,-14.0563
517,11750.9,8.46953,-14.186
518,11859.7,8.49491,-14.2708
519,11969.6,8.49074,-14.3777
520,12080.4,8.45675,-14.6537
521,12192.3,8.45992,-14.6134
522,12305.2,8.45608,-14.5759
523,12419.2,8.4711,-14.8633
524,12534.2,8.44132,-15.1652
525,12650.3,8.44447,-15.1009
526,12767.5,8.41622,-15.338
527,12885.8,8.43932,-15.4299
528,13005.1,8.44119,-15.6868
529,13125.6,8.43731,-15.7065
530,13247.1,8.43015,-15.9661
531,13369.8,8.42078,-15.9815
532,13493.7,8.41043,-15.995
533,13618.7,8.37399,-16.263
534,13744.8,8.40742,-16.3751
535,13872.1,8.40087,-16.3865
536,14000.6,8.35437,-16.4385
537,14130.3,8.3677,-16.6146
538,14261.1,8.39391,-16.8814
539,14393.2,8.412,-17.2569
540,14526.5,8.37879,-17.3349
541,14661.1,8.36968,-17.4235
542,14796.9,8.37655,-17.5386
543,14933.9,8.31675,-17.3794
544,15072.3,8.31275,-17.7823
545,15211.9,8.35665,-17.7017
546,15352.8,8.33628,-18.0599
547,15495,8.34845,-18.211
548,15638.5,8.31188,-18.4716
549,15783.3,8.33725,-18.7585
550,15929.5,8.32321,-18.8567
551,16077,8.31124,-18.8394
552,16226,8.31817,-19.0514
553,16376.2,8.31032,-19.1486
554,16527.9,8.30404,-19.3141
555,16681,8.2715,-19.5696
556,16835.5,8.25273,-19.9826
557,16991.4,8.27254,-19.4605
558,17148.8,8.26839,-20.2642
559,17307.7,8.24633,-20.3538
560,17468,8.24911,-20.3939
561,17629.8,8.26707,-20.5821
562,17793,8.21439,-20.665
563,17957.8,8.21944,-20.6721
564,18124.2,8.25747,-21.0761
565,18292,8.21992,-21.3472
566,18461.5,8.20064,-21.3016
567,18632.5,8.2146,-21.6949
568,18805,8.22848,-21.5638
569,18979.2,8.21264,-21.8571
570,19155,8.18256,-22.1122
571,19332.4,8.18593,-22.1853
572,19511.5,8.18407,-22.6839
573,19692.2,8.19346,-22.6737
574,19874.6,8.18292,-23.0327
575,20058.7,8.17173,-22.9349
576,20244.5,8.15195,-23.6787
577,20432,8.06897,-23.4918
578,20621.2,8.12662,-22.9518
579,20812.2,8.13855,-23.78
580,21005,8.12063,-24.186
581,21199.5,8.10946,-23.9204
582,21395.9,8.15527,-24.5521
583,21594.1,8.08093,-24.8852
584,21794.1,8.13519,-24.3122
585,21995.9,8.09175,-24.8065
586,22199.7,8.07174,-25.3148
587,22405.3,8.08475,-25.5103
588,22612.8,8.10984,-25.4754
589,22822.2,8.10127,-25.602
590,23033.6,7.94608,-25.7813
591,23247,8.03129,-26.4072
592,23462.3,8.03008,-26.5135
593,23679.6,7.96312,-27.0451
594,23898.9,8.02161,-27.5464
595,24120.3,8.01946,-26.5389
596,24343.7,7.99721,-27.531
597,24569.2,8.01829,-27.6744
598,24796.7,7.99789,-28.393
599,25026.4,8.04895,-27.7167
600,25258.2,7.93613,-28.3092
601,25492.1,7.97484,-28.8631
602,25728.3,7.87714,-29.1626
603,25966.6,7.91566,-29.2779
604,26207.1,7.92857,-29.3885
605,26449.8,7.92793,-30.1315
606,26694.8,7.9043,-30.678
607,26942,7.89657,-30.411
608,27191.6,7.8601,-31.0034
609,27443.4,7.81368,-31.2412
610,27697.6,7.86553,-30.8433
611,27954.2,7.86665,-31.1122
612,28213.1,7.76555,-30.6082
613,28474.4,7.8241,-31.9921
614,28738.1,7.74789,-31.9827
615,29004.3,7.85653,-33.053
616,29272.9,7.74403,-32.3021
617,29544.1,7.83875,-32.9474
618,29817.7,7.75331,-33.1768
619,30093.9,7.66988,-33.0886
620,30372.6,7.78162,-33.4931
621,30654,7.70692,-33.9173
622,30937.9,7.7613,-34.7295
623,31224.4,7.67563,-34.7151
624,31513.6,7.66511,-35.4037
625,31805.5,7.72601,-35.0435
626,32100.1,7.61334,-35.8092
627,32397.4,7.47796,-36.1973
628,32697.5,7.61257,-36.1859
629,33000.3,7.6675,-36.4227
630,33306,7.57783,-36.9461
631,33614.5,7.45955,-36.9835
632,33925.8,7.56271,-38.8107
633,34240.1,7.46504,-37.4741
634,34557.2,7.47349,-36.9129
635,34877.3,7.49433,-38.3906
636,35200.3,7.43888,-39.6377
637,35526.3,7.54235,-39.2471
638,35855.4,7.33201,-38.6441
639,36187.5,7.43758,-39.5215
640,36522.7,7.38685,-39.8206
641,36861,7.44421,-40.7847
642,37202.4,7.56204,-41.0946
643,37546.9,7.32918,-41.4498
644,37894.7,7.24634,-41.6428
645,38245.7,7.40331,-42.2283
646,38599.9,7.14256,-43.5102
647,38957.5,7.30973,-42.3262
648,39318.3,7.18037,-42.8854
649,39682.5,7.34414,-44.09
650,40050,7.05148,-42.9201
651,40421,7.15713,-44.9652
652,40795.3,7.19468,-44.9055
653,41173.2,7.08517,-45.0831
654,41554.6,7.14314,-45.6029
655,41939.4,7.32981,-46.1661
656,42327.9,7.16882,-46.8149
657,42719.9,7.26699,-47.7241
658,43115.6,7.03148,-48.2741
659,43515,6.9856,-49.0641
660,43918,7.09925,-49.2443
661,44324.8,6.95816,-48.9881
662,44735.3,7.14716,-49.4904
663,45149.7,7.02375,-49.2368
664,45567.9,7.07141,-49.3717
665,45989.9,6.82419,-51.2417
666,46415.9,6.86489,-51.2662
667,46845.8,6.83478,-52.7574
668,47279.7,6.89996,-51.8092
669,47717.6,6.61988,-52.5027
670,48159.6,6.94897,-53.3587
671,48605.6,6.75377,-53.2131
672,49055.8,6.46378,-52.8457
673,49510.2,6.58241,-54.2929
674,49968.8,6.64024,-55.0723
675,50431.6,6.53051,-56.6892
676,50898.7,6.54907,-56.5889
677,51370.1,6.54619,-55.4973
678,51845.9,6.33926,-56.6118
679,52326.1,6.3859,-57.6119
680,52810.8,6.41641,-58.4968
681,53299.9,6.215,-58.9226
682,53793.6,6.44689,-59.6075
683,54291.9,6.30179,-58.7347
684,54794.7,6.13484,-61.2954
685,55302.2,6.2734,-61.58
686,55814.5,6.30308,-62.4337
687,56331.4,6.34731,-62.4002
688,56853.2,6.10245,-63.3273
689,57379.8,6.18241,-62.4644
690,57911.2,5.89409,-63.3645
691,58447.6,5.90948,-64.7003
692,58989,6.02032,-65.4151
693,59535.3,5.85851,-67.317
694,60086.8,5.87163,-66.1605
695,60643.3,5.94396,-67.1807
696,61205,5.76537,-67.57
697,61771.9,5.69283,-67.4123
698,62344,5.74136,-69.4755
699,62921.5,5.74933,-69.7386
700,63504.3,5.58383,-69.9916
701,64092.4,5.50327,-71.4238
702,64686.1,5.59406,-71.5164
703,65285.2,5.4325,-72.4027
704,65889.9,5.35147,-72.1954
705,66500.2,5.39633,-74.3672
706,67116.1,5.3953,-75.2694
707,67737.8,5.42969,-75.6356
708,68365.2,5.21739,-77.2751
709,68998.4,5.08562,-76.8486
710,69637.4,5.22387,-77.533
711,70282.4,4.92812,-78.8567
712,70933.4,4.8987,-79.1458
713,71590.4,4.86612,-80.745
714,72253.5,4.6604,-81.1674
715,72922.7,4.61457,-80.5222
716,73598.1,4.78921,-82.0209
717,74279.8,4.80837,-82.9882
718,74967.8,4.70129,-83.9519
719,75662.2,4.32425,-83.8593
720,76363,4.3006,-85.3368
721,77070.3,4.53341,-87.1793
722,77784.1,4.13525,-88.0261
723,78504.6,4.30218,-86.975
724,79231.7,4.27563,-88.5573
725,79965.5,4.06407,-89.9898
726,80706.2,3.8742,-91.067
727,81453.7,4.04261,-91.8717
728,82208.2,3.99887,-92.896
729,82969.6,3.77353,-92.9425
730,83738.1,3.88454,-94.1789
731,84513.7,3.64614,-95.3019
732,85296.4,3.67212,-96.0869
733,86086.5,3.43665,-98.3426
734,86883.8,3.32428,-97.8173
735,87688.6,3.27465,-97.7347
736,88500.7,3.21397,-99.6254
737,89320.5,3.13404,-101.362
738,90147.8,3.09463,-102.254
739,90982.7,2.70271,-102.62
740,91825.4,2.96687,-103.892
741,92675.9,2.61029,-103.397
742,93534.3,2.59854,-106.908
743,94400.6,2.29277,-106.189
744,95275,2.48928,-107.429
745,96157.5,2.40765,-109.292
746,97048.1,2.19067,-108.225
747,97947,2.18614,-110.373
748,98854.2,2.10318,-112.167
749,99769.8,1.91279,-111.88
750,100694,1.77428,-112.432
751,101627,1.59207,-113.931
752,102568,1.51744,-115.635
753,103518,1.45287,-115.199
754,104477,1.36048,-116.504
755,105444,1.23383,-117.843
756,106421,1.12213,-118.686
757,107407,1.00345,-119.654
758,108401,0.816217,-120.54
759,109405,0.806004,-121.288
760,110419,0.757002,-122.763
761,111442,0.531356,-123.687
762,112474,0.42518,-124.58
763,113515,0.309463,-125.308
764,114567,0.16667,-126.555
765,115628,0.14464,-127.122
766,116699,0.00534716,-128.649
767,117780,-0.184874,-129.52
768,118871,-0.323804,-130.047
769,119972,-0.440019,-131.009
770,121083,-0.587472,-131.613
771,122204,-0.733299,-133.194
772,123336,-0.807866,-134.263
773,124479,-0.968439,-135.695
774,125632,-1.05427,-136.05
775,126795,-1.30512,-137.21
776,127970,-1.31836,-138.153
777,129155,-1.46823,-139.053
778,130351,-1.56196,-140.296
779,131559,-1.72383,-140.869
780,132777,-1.8316,-141.729
781,134007,-1.99907,-142.821
782,135248,-2.23925,-144.206
783,136501,-2.35512,-144.932
784,137765,-2.4228,-145.808
785,139041,-2.62924,-146.709
786,140329,-2.61418,-147.906
787,141629,-2.80079,-148.651
788,142940,-2.92503,-149.335
789,144264,-3.10257,-150.354
790,145601,-3.18781,-151.803
791,146949,-3.38221,-152.627
792,148310,-3.50116,-153.461
793,149684,-3.63504,-154.405
794,151070,-3.85403,-155.903
795,152470,-3.99163,-156.293
796,153882,-4.02365,-158.106
