time	I(C1)
7.036901414330641e-03	-7.600541e-03
7.105260789330639e-03	-7.830827e-03
7.173620164330638e-03	-7.994727e-03
7.241979539330637e-03	-8.092241e-03
7.328475075044920e-03	-8.147689e-03
7.414970610759204e-03	-8.155908e-03
7.501466146473488e-03	-8.116900e-03
7.587961682187772e-03	-8.030664e-03
7.674457217902056e-03	-7.897199e-03
7.760952753616340e-03	-7.716507e-03
7.847448289330624e-03	-7.488587e-03
7.949289807187765e-03	-7.194562e-03
8.051131325044905e-03	-6.888691e-03
8.152972842902046e-03	-6.570972e-03
8.254814360759186e-03	-6.241405e-03
8.356655878616327e-03	-5.899991e-03
8.458497396473467e-03	-5.546731e-03
8.560338914330608e-03	-5.181622e-03
8.677526414330606e-03	-4.774540e-03
8.794713914330603e-03	-4.382763e-03
8.911901414330601e-03	-4.006290e-03
9.029088914330598e-03	-3.645122e-03
9.146276414330596e-03	-3.299258e-03
9.263463914330593e-03	-2.968699e-03
9.380651414330591e-03	-2.653444e-03
9.430874628616304e-03	-2.526371e-03
9.481097842902018e-03	-2.402995e-03
9.531321057187731e-03	-2.283315e-03
9.581544271473444e-03	-2.167333e-03
9.631767485759158e-03	-2.055047e-03
9.681990700044871e-03	-1.946458e-03
9.732213914330583e-03	-1.841566e-03
9.770469069426215e-03	-1.764146e-03
9.808724224521845e-03	-1.688773e-03
9.846979379617477e-03	-1.615447e-03
9.885234534713107e-03	-1.544167e-03
9.923489689808739e-03	-1.474934e-03
9.961744844904368e-03	-1.407747e-03
1.000000000000000e-02	-1.342608e-03
