time	V(n003)	I(C1)
3.192764437500047e-02	7.468970e+01	6.183714e-04
3.210900598214331e-02	7.471607e+01	5.656412e-04
3.229036758928616e-02	7.474056e+01	5.166491e-04
3.247172919642901e-02	7.476319e+01	4.713952e-04
3.265309080357185e-02	7.478395e+01	4.298793e-04
3.283445241071470e-02	7.480284e+01	3.921015e-04
3.301581401785755e-02	7.481986e+01	3.580619e-04
3.319717562500039e-02	7.483501e+01	3.277603e-04
3.337853723214324e-02	7.484898e+01	2.998113e-04
3.355989883928609e-02	7.486197e+01	2.738437e-04
3.374126044642894e-02	7.487396e+01	2.498573e-04
3.392262205357178e-02	7.488496e+01	2.278524e-04
3.410398366071463e-02	7.489497e+01	2.078287e-04
3.428534526785747e-02	7.490400e+01	1.897864e-04
3.446670687500032e-02	7.491203e+01	1.737254e-04
3.464806848214317e-02	7.491943e+01	1.589114e-04
3.482943008928602e-02	7.492631e+01	1.451475e-04
3.501079169642887e-02	7.493266e+01	1.324339e-04
3.519215330357171e-02	7.493850e+01	1.207704e-04
3.537351491071455e-02	7.494380e+01	1.101571e-04
3.555487651785740e-02	7.494858e+01	1.005940e-04
3.573623812500025e-02	7.495284e+01	9.208107e-05
3.591759973214310e-02	7.495677e+01	8.422907e-05
3.609896133928595e-02	7.496042e+01	7.693371e-05
3.628032294642879e-02	7.496379e+01	7.019499e-05
3.646168455357163e-02	7.496688e+01	6.401290e-05
3.664304616071448e-02	7.496969e+01	5.838745e-05
3.682440776785733e-02	7.497223e+01	5.331864e-05
3.700576937500018e-02	7.497448e+01	4.880647e-05
3.718713098214303e-02	7.497656e+01	4.464461e-05
3.736849258928587e-02	7.497849e+01	4.077779e-05
3.754985419642872e-02	7.498028e+01	3.720601e-05
3.773121580357156e-02	7.498192e+01	3.392927e-05
3.791257741071441e-02	7.498341e+01	3.094757e-05
3.809393901785726e-02	7.498475e+01	2.826090e-05
3.827530062500011e-02	7.498595e+01	2.586928e-05
3.845666223214295e-02	7.498705e+01	2.366334e-05
3.863802383928580e-02	7.498808e+01	2.161378e-05
