time	V(n001)	V(n003)
3.510488884987317e-03	-5.000000e+00	-8.946193e+00
3.515733327380976e-03	-5.000007e+00	-8.487038e+00
3.520977769774634e-03	-5.000010e+00	-8.050804e+00
3.526222212168293e-03	-5.000010e+00	-7.637488e+00
3.531466654561952e-03	-5.000007e+00	-7.247092e+00
3.536711096955610e-03	-5.000000e+00	-6.879615e+00
3.546476721955610e-03	-5.000000e+00	-6.239054e+00
3.556242346955610e-03	-5.000000e+00	-5.658135e+00
3.566007971955610e-03	-5.000000e+00	-5.131307e+00
3.575773596955609e-03	-5.000000e+00	-4.653532e+00
3.585539221955609e-03	-5.000000e+00	-4.220243e+00
3.595304846955609e-03	-5.000000e+00	-3.827297e+00
3.605070471955609e-03	-5.000000e+00	-3.470939e+00
3.614836096955609e-03	-5.000000e+00	-3.147762e+00
3.624601721955608e-03	-5.000000e+00	-2.854676e+00
3.634367346955608e-03	-5.000000e+00	-2.588880e+00
3.644132971955608e-03	-5.000000e+00	-2.347832e+00
3.653898596955608e-03	-5.000000e+00	-2.129228e+00
3.663664221955608e-03	-5.000000e+00	-1.930979e+00
3.673429846955607e-03	-5.000000e+00	-1.751189e+00
3.683195471955607e-03	-5.000000e+00	-1.588139e+00
3.692961096955607e-03	-5.000000e+00	-1.440271e+00
3.702726721955607e-03	-5.000000e+00	-1.306170e+00
3.712492346955607e-03	-5.000000e+00	-1.184557e+00
3.722257971955606e-03	-5.000000e+00	-1.074266e+00
3.732023596955606e-03	-5.000000e+00	-9.742453e-01
3.741789221955606e-03	-5.000000e+00	-8.835372e-01
3.751554846955606e-03	-5.000000e+00	-8.012750e-01
3.761320471955606e-03	-5.000000e+00	-7.266724e-01
3.771086096955605e-03	-5.000000e+00	-6.590160e-01
3.780851721955605e-03	-5.000000e+00	-5.976592e-01
3.790617346955605e-03	-5.000000e+00	-5.420153e-01
3.800382971955605e-03	-5.000000e+00	-4.915525e-01
3.810148596955604e-03	-5.000000e+00	-4.457884e-01
3.819914221955604e-03	-5.000000e+00	-4.042853e-01
3.829679846955604e-03	-5.000000e+00	-3.666467e-01
3.839445471955604e-03	-5.000000e+00	-3.325126e-01
3.849211096955604e-03	-5.000000e+00	-3.015567e-01
3.858976721955603e-03	-5.000000e+00	-2.734832e-01
3.868742346955603e-03	-5.000000e+00	-2.480236e-01
3.878507971955603e-03	-5.000000e+00	-2.249346e-01
3.888273596955603e-03	-5.000000e+00	-2.039955e-01
3.898039221955603e-03	-5.000000e+00	-1.850059e-01
3.907804846955603e-03	-5.000000e+00	-1.677845e-01
3.917570471955603e-03	-5.000000e+00	-1.521666e-01
3.927336096955602e-03	-5.000000e+00	-1.380030e-01
3.937101721955602e-03	-5.000000e+00	-1.251581e-01
3.946867346955602e-03	-5.000000e+00	-1.135091e-01
3.956632971955602e-03	-5.000000e+00	-1.029449e-01
3.966398596955602e-03	-5.000000e+00	-9.336426e-02
3.976164221955601e-03	-5.000000e+00	-8.467570e-02
3.985929846955601e-03	-5.000000e+00	-7.679614e-02
4.000000000000000e-03	-5.000000e+00	-6.671143e-02
4.000000000100000e-03	4.999987e+00	9.933270e+00
4.005244442493659e-03	4.999994e+00	9.428270e+00
4.010488884887317e-03	5.000000e+00	8.946192e+00
4.015733327280976e-03	5.000004e+00	8.487035e+00
4.020977769674634e-03	5.000005e+00	8.050798e+00
4.026222212068293e-03	5.000005e+00	7.637483e+00
4.031466654461952e-03	5.000004e+00	7.247089e+00
4.036711096855610e-03	5.000000e+00	6.879615e+00
4.046476721855610e-03	5.000000e+00	6.239054e+00
4.056242346855610e-03	5.000000e+00	5.658135e+00
4.066007971855610e-03	5.000000e+00	5.131307e+00
4.075773596855610e-03	5.000000e+00	4.653532e+00
4.085539221855609e-03	5.000000e+00	4.220243e+00
4.095304846855609e-03	5.000000e+00	3.827297e+00
4.105070471855609e-03	5.000000e+00	3.470939e+00
4.114836096855609e-03	5.000000e+00	3.147762e+00
4.124601721855609e-03	5.000000e+00	2.854676e+00
4.134367346855608e-03	5.000000e+00	2.588880e+00
4.144132971855608e-03	5.000000e+00	2.347832e+00
4.153898596855608e-03	5.000000e+00	2.129228e+00
4.163664221855608e-03	5.000000e+00	1.930979e+00
4.173429846855608e-03	5.000000e+00	1.751189e+00
4.183195471855607e-03	5.000000e+00	1.588139e+00
4.192961096855607e-03	5.000000e+00	1.440271e+00
