time	V(n003)	I(C1)
2.088862419699172e-04	-1.369271e+00	3.184636e-03
2.098628044699172e-04	-1.065683e+00	3.032842e-03
2.108393669699172e-04	-7.765660e-01	2.888283e-03
2.118159294699172e-04	-5.012292e-01	2.750615e-03
2.127924919699172e-04	-2.390162e-01	2.619508e-03
2.137690544699172e-04	1.069862e-02	2.494651e-03
2.147456169699172e-04	2.485109e-01	2.375745e-03
2.157221794699172e-04	4.749880e-01	2.262506e-03
2.166987419699172e-04	6.906701e-01	2.154665e-03
2.176753044699172e-04	8.960720e-01	2.051964e-03
2.186518669699172e-04	1.091683e+00	1.954158e-03
2.196284294699172e-04	1.277971e+00	1.861014e-03
2.206049919699172e-04	1.455380e+00	1.772310e-03
2.225581169699172e-04	1.785231e+00	1.607384e-03
2.245112419699172e-04	2.084388e+00	1.457806e-03
2.264643669699172e-04	2.355706e+00	1.322147e-03
2.284174919699172e-04	2.601776e+00	1.199112e-03
2.303706169699172e-04	2.824948e+00	1.087526e-03
2.323237419699172e-04	3.027351e+00	9.863243e-04
2.342768669699172e-04	3.210920e+00	8.945399e-04
2.372065544699172e-04	3.454746e+00	7.726268e-04
2.391596794699172e-04	3.598543e+00	7.007284e-04
2.411128044699172e-04	3.728958e+00	6.355208e-04
2.430659294699172e-04	3.847238e+00	5.763811e-04
2.450190544699172e-04	3.954510e+00	5.227448e-04
2.469721794699172e-04	4.051800e+00	4.740998e-04
2.489253044699172e-04	4.140037e+00	4.299815e-04
2.508784294699172e-04	4.220063e+00	3.899687e-04
2.528315544699172e-04	4.292641e+00	3.536794e-04
2.547846794699172e-04	4.358466e+00	3.207671e-04
2.577143669699172e-04	4.445898e+00	2.770510e-04
2.596674919699172e-04	4.497461e+00	2.512695e-04
2.616206169699172e-04	4.544226e+00	2.278871e-04
2.635737419699172e-04	4.586639e+00	2.066806e-04
2.655268669699172e-04	4.625105e+00	1.874475e-04
2.674799919699172e-04	4.659992e+00	1.700042e-04
2.694331169699172e-04	4.691632e+00	1.541841e-04
2.704096794699172e-04	4.706330e+00	1.468351e-04
2.713862419699172e-04	4.720327e+00	1.398362e-04
2.723628044699172e-04	4.733658e+00	1.331710e-04
2.733393669699172e-04	4.746353e+00	1.268235e-04
2.743159294699172e-04	4.758443e+00	1.207785e-04
2.752924919699172e-04	4.769957e+00	1.150217e-04
2.762690544699172e-04	4.780921e+00	1.095392e-04
2.772456169699172e-04	4.791364e+00	1.043181e-04
2.782221794699172e-04	4.801308e+00	9.934585e-05
2.791987419699172e-04	4.810779e+00	9.461059e-05
2.801753044699172e-04	4.819798e+00	9.010103e-05
2.821284294699172e-04	4.836567e+00	8.171650e-05
2.831049919699172e-04	4.844357e+00	7.782153e-05
2.860346794699172e-04	4.865569e+00	6.721555e-05
2.870112419699172e-04	4.871976e+00	6.401176e-05
2.899409294699172e-04	4.889424e+00	5.528786e-05
2.909174919699172e-04	4.894695e+00	5.265259e-05
2.928706169699172e-04	4.904494e+00	4.775290e-05
2.938471794699172e-04	4.909047e+00	4.547678e-05
2.948237419699172e-04	4.913382e+00	4.330916e-05
2.958003044699172e-04	4.917511e+00	4.124485e-05
2.967768669699172e-04	4.921442e+00	3.927894e-05
2.977534294699173e-04	4.925187e+00	3.740673e-05
2.987299919699173e-04	4.928752e+00	3.562376e-05
2.997065544699173e-04	4.932148e+00	3.392577e-05
3.000000001000000e-04	4.933137e+00	3.343076e-05
3.000000002000000e-04	4.933136e+00	-4.966568e-03
3.011299543541255e-04	4.391120e+00	-4.695560e-03
3.022599085082511e-04	3.875247e+00	-4.437624e-03
3.033898626623766e-04	3.385519e+00	-4.192760e-03
3.045198168165022e-04	2.921936e+00	-3.960968e-03
3.056497709706278e-04	2.484496e+00	-3.742248e-03
3.067797251247533e-04	2.073202e+00	-3.536601e-03
3.079096792788789e-04	1.688052e+00	-3.344026e-03
3.088862417788789e-04	1.369269e+00	-3.184635e-03
3.098628042788789e-04	1.065682e+00	-3.032841e-03
3.108393667788789e-04	7.765643e-01	-2.888282e-03
3.118159292788789e-04	5.012276e-01	-2.750614e-03
3.127924917788789e-04	2.390146e-01	-2.619507e-03
3.137690542788789e-04	-1.070009e-02	-2.494650e-03
3.147456167788789e-04	-2.485123e-01	-2.375744e-03
3.157221792788789e-04	-4.749893e-01	-2.262505e-03
3.166987417788789e-04	-6.906714e-01	-2.154664e-03
3.176753042788789e-04	-8.960732e-01	-2.051963e-03
3.186518667788789e-04	-1.091685e+00	-1.954158e-03
3.196284292788789e-04	-1.277972e+00	-1.861014e-03
3.206049917788789e-04	-1.455381e+00	-1.772310e-03
3.225581167788789e-04	-1.785232e+00	-1.607384e-03
3.245112417788789e-04	-2.084389e+00	-1.457806e-03
3.264643667788789e-04	-2.355707e+00	-1.322147e-03
3.284174917788789e-04	-2.601777e+00	-1.199112e-03
3.303706167788789e-04	-2.824948e+00	-1.087526e-03
3.323237417788789e-04	-3.027352e+00	-9.863240e-04
3.342768667788789e-04	-3.210921e+00	-8.945397e-04
3.372065542788789e-04	-3.454747e+00	-7.726265e-04
3.391596792788789e-04	-3.598544e+00	-7.007282e-04
3.411128042788789e-04	-3.728959e+00	-6.355206e-04
3.430659292788789e-04	-3.847238e+00	-5.763809e-04
3.450190542788789e-04	-3.954511e+00	-5.227447e-04
3.469721792788789e-04	-4.051801e+00	-4.740996e-04
3.489253042788789e-04	-4.140038e+00	-4.299814e-04
3.508784292788789e-04	-4.220063e+00	-3.899686e-04
3.528315542788789e-04	-4.292642e+00	-3.536793e-04
3.547846792788789e-04	-4.358466e+00	-3.207670e-04
3.577143667788789e-04	-4.445898e+00	-2.770509e-04
3.596674917788789e-04	-4.497461e+00	-2.512694e-04
3.616206167788789e-04	-4.544226e+00	-2.278870e-04
3.635737417788789e-04	-4.586639e+00	-2.066806e-04
3.655268667788789e-04	-4.625105e+00	-1.874475e-04
3.674799917788789e-04	-4.659992e+00	-1.700042e-04
3.694331167788790e-04	-4.691632e+00	-1.541841e-04
3.704096792788790e-04	-4.706330e+00	-1.468350e-04
3.713862417788790e-04	-4.720327e+00	-1.398362e-04
3.723628042788790e-04	-4.733658e+00	-1.331710e-04
3.733393667788790e-04	-4.746353e+00	-1.268235e-04
3.743159292788790e-04	-4.758443e+00	-1.207785e-04
3.752924917788790e-04	-4.769957e+00	-1.150217e-04
3.762690542788790e-04	-4.780921e+00	-1.095392e-04
3.772456167788790e-04	-4.791364e+00	-1.043181e-04
3.782221792788790e-04	-4.801308e+00	-9.934582e-05
3.791987417788790e-04	-4.810779e+00	-9.461056e-05
3.801753042788790e-04	-4.819798e+00	-9.010100e-05
3.821284292788790e-04	-4.836567e+00	-8.171648e-05
3.831049917788790e-04	-4.844357e+00	-7.782150e-05
3.860346792788790e-04	-4.865569e+00	-6.721553e-05
3.870112417788790e-04	-4.871976e+00	-6.401174e-05
3.899409292788790e-04	-4.889424e+00	-5.528784e-05
3.909174917788790e-04	-4.894695e+00	-5.265258e-05
3.928706167788790e-04	-4.904494e+00	-4.775288e-05
3.938471792788790e-04	-4.909047e+00	-4.547677e-05
3.948237417788790e-04	-4.913382e+00	-4.330914e-05
3.958003042788790e-04	-4.917511e+00	-4.124484e-05
3.967768667788790e-04	-4.921442e+00	-3.927893e-05
3.977534292788790e-04	-4.925187e+00	-3.740672e-05
3.987299917788790e-04	-4.928752e+00	-3.562375e-05
3.997065542788790e-04	-4.932148e+00	-3.392576e-05
4.000000000000000e-04	-4.933137e+00	-3.343076e-05
4.000000000099999e-04	-4.933137e+00	4.665665e-04
4.000000000999999e-04	-4.933137e+00	4.966567e-03
4.011299542541255e-04	-4.391120e+00	4.695559e-03
4.022599084082510e-04	-3.875247e+00	4.437624e-03
4.033898625623766e-04	-3.385519e+00	4.192760e-03
4.045198167165022e-04	-2.921936e+00	3.960968e-03
4.056497708706278e-04	-2.484496e+00	3.742249e-03
4.067797250247533e-04	-2.073202e+00	3.536601e-03
4.079096791788789e-04	-1.688052e+00	3.344026e-03
4.088862416788789e-04	-1.369269e+00	3.184635e-03
4.098628041788789e-04	-1.065682e+00	3.032841e-03
4.108393666788789e-04	-7.765643e-01	2.888282e-03
4.118159291788789e-04	-5.012276e-01	2.750614e-03
4.127924916788789e-04	-2.390146e-01	2.619507e-03
4.137690541788789e-04	1.070007e-02	2.494650e-03
4.147456166788789e-04	2.485123e-01	2.375744e-03
4.157221791788789e-04	4.749893e-01	2.262505e-03
4.166987416788789e-04	6.906714e-01	2.154664e-03
4.176753041788789e-04	8.960732e-01	2.051963e-03
4.186518666788789e-04	1.091685e+00	1.954158e-03
4.196284291788789e-04	1.277972e+00	1.861014e-03
4.206049916788789e-04	1.455381e+00	1.772310e-03
4.225581166788789e-04	1.785232e+00	1.607384e-03
4.245112416788789e-04	2.084389e+00	1.457806e-03
4.264643666788789e-04	2.355707e+00	1.322147e-03
4.284174916788789e-04	2.601777e+00	1.199112e-03
4.303706166788789e-04	2.824948e+00	1.087526e-03
4.323237416788789e-04	3.027352e+00	9.863240e-04
4.342768666788789e-04	3.210921e+00	8.945397e-04
4.372065541788789e-04	3.454747e+00	7.726265e-04
4.391596791788789e-04	3.598544e+00	7.007282e-04
4.411128041788789e-04	3.728959e+00	6.355206e-04
4.430659291788789e-04	3.847238e+00	5.763809e-04
4.450190541788789e-04	3.954511e+00	5.227447e-04
4.469721791788789e-04	4.051801e+00	4.740996e-04
4.489253041788789e-04	4.140038e+00	4.299814e-04
4.508784291788789e-04	4.220063e+00	3.899686e-04
4.528315541788789e-04	4.292642e+00	3.536793e-04
4.547846791788789e-04	4.358466e+00	3.207670e-04
4.577143666788789e-04	4.445898e+00	2.770509e-04
4.596674916788789e-04	4.497461e+00	2.512694e-04
4.616206166788789e-04	4.544226e+00	2.278870e-04
4.635737416788789e-04	4.586639e+00	2.066806e-04
4.655268666788789e-04	4.625105e+00	1.874475e-04
4.674799916788789e-04	4.659992e+00	1.700042e-04
4.694331166788789e-04	4.691632e+00	1.541841e-04
4.704096791788789e-04	4.706330e+00	1.468350e-04
4.713862416788789e-04	4.720327e+00	1.398362e-04
4.723628041788789e-04	4.733658e+00	1.331710e-04
4.733393666788789e-04	4.746353e+00	1.268235e-04
4.743159291788789e-04	4.758443e+00	1.207785e-04
4.752924916788789e-04	4.769957e+00	1.150217e-04
4.762690541788789e-04	4.780921e+00	1.095392e-04
4.772456166788789e-04	4.791364e+00	1.043181e-04
4.782221791788789e-04	4.801308e+00	9.934582e-05
4.791987416788789e-04	4.810779e+00	9.461056e-05
4.801753041788789e-04	4.819798e+00	9.010100e-05
4.821284291788789e-04	4.836567e+00	8.171648e-05
4.831049916788789e-04	4.844357e+00	7.782150e-05
4.860346791788789e-04	4.865569e+00	6.721553e-05
4.870112416788789e-04	4.871976e+00	6.401174e-05
4.899409291788789e-04	4.889424e+00	5.528784e-05
4.909174916788789e-04	4.894695e+00	5.265258e-05
4.928706166788789e-04	4.904494e+00	4.775288e-05
4.938471791788789e-04	4.909047e+00	4.547677e-05
4.948237416788789e-04	4.913382e+00	4.330914e-05
4.958003041788789e-04	4.917511e+00	4.124484e-05
4.967768666788789e-04	4.921442e+00	3.927893e-05
4.977534291788789e-04	4.925187e+00	3.740672e-05
4.987299916788789e-04	4.928752e+00	3.562375e-05
4.997065541788789e-04	4.932148e+00	3.392576e-05
5.000000000999999e-04	4.933137e+00	3.343076e-05
5.000000001099999e-04	4.933137e+00	-4.665665e-04
5.000000001999999e-04	4.933137e+00	-4.966563e-03
5.011299543541255e-04	4.391120e+00	-4.695557e-03
5.022599085082510e-04	3.875247e+00	-4.437623e-03
5.033898626623766e-04	3.385519e+00	-4.192760e-03
5.045198168165021e-04	2.921936e+00	-3.960969e-03
5.056497709706277e-04	2.484496e+00	-3.742250e-03
5.067797251247532e-04	2.073202e+00	-3.536602e-03
5.079096792788788e-04	1.688052e+00	-3.344026e-03
5.088862417788788e-04	1.369269e+00	-3.184635e-03
5.098628042788788e-04	1.065682e+00	-3.032841e-03
5.108393667788788e-04	7.765643e-01	-2.888282e-03
5.118159292788788e-04	5.012276e-01	-2.750614e-03
5.127924917788788e-04	2.390146e-01	-2.619507e-03
5.137690542788788e-04	-1.070007e-02	-2.494650e-03
5.147456167788788e-04	-2.485123e-01	-2.375744e-03
5.157221792788788e-04	-4.749893e-01	-2.262505e-03
5.166987417788788e-04	-6.906714e-01	-2.154664e-03
5.176753042788788e-04	-8.960732e-01	-2.051963e-03
5.186518667788788e-04	-1.091685e+00	-1.954158e-03
5.196284292788788e-04	-1.277972e+00	-1.861014e-03
5.206049917788788e-04	-1.455381e+00	-1.772310e-03
5.225581167788788e-04	-1.785232e+00	-1.607384e-03
5.245112417788788e-04	-2.084389e+00	-1.457806e-03
5.264643667788788e-04	-2.355707e+00	-1.322147e-03
5.284174917788788e-04	-2.601777e+00	-1.199112e-03
5.303706167788788e-04	-2.824948e+00	-1.087526e-03
5.323237417788788e-04	-3.027352e+00	-9.863240e-04
5.342768667788788e-04	-3.210921e+00	-8.945397e-04
5.372065542788788e-04	-3.454747e+00	-7.726265e-04
5.391596792788788e-04	-3.598544e+00	-7.007282e-04
5.411128042788788e-04	-3.728959e+00	-6.355206e-04
5.430659292788788e-04	-3.847238e+00	-5.763809e-04
5.450190542788788e-04	-3.954511e+00	-5.227447e-04
5.469721792788788e-04	-4.051801e+00	-4.740996e-04
5.489253042788788e-04	-4.140038e+00	-4.299814e-04
5.508784292788788e-04	-4.220063e+00	-3.899686e-04
5.528315542788788e-04	-4.292642e+00	-3.536793e-04
5.547846792788788e-04	-4.358466e+00	-3.207670e-04
5.577143667788788e-04	-4.445898e+00	-2.770509e-04
5.596674917788788e-04	-4.497461e+00	-2.512694e-04
5.616206167788788e-04	-4.544226e+00	-2.278870e-04
5.635737417788788e-04	-4.586639e+00	-2.066806e-04
5.655268667788788e-04	-4.625105e+00	-1.874475e-04
5.674799917788788e-04	-4.659992e+00	-1.700042e-04
5.694331167788788e-04	-4.691632e+00	-1.541841e-04
5.704096792788788e-04	-4.706330e+00	-1.468350e-04
5.713862417788788e-04	-4.720327e+00	-1.398362e-04
5.723628042788788e-04	-4.733658e+00	-1.331710e-04
5.733393667788788e-04	-4.746353e+00	-1.268235e-04
5.743159292788788e-04	-4.758443e+00	-1.207785e-04
5.752924917788788e-04	-4.769957e+00	-1.150217e-04
5.762690542788788e-04	-4.780921e+00	-1.095392e-04
5.772456167788788e-04	-4.791364e+00	-1.043181e-04
5.782221792788788e-04	-4.801308e+00	-9.934582e-05
5.791987417788788e-04	-4.810779e+00	-9.461056e-05
5.801753042788788e-04	-4.819798e+00	-9.010100e-05
5.821284292788788e-04	-4.836567e+00	-8.171648e-05
5.831049917788788e-04	-4.844357e+00	-7.782150e-05
5.860346792788788e-04	-4.865569e+00	-6.721553e-05
