Freq.	V(n010)
1.14815362149688e+00	(-4.89845832732298e+01dB,-9.02911723143785e+01°)
1.15080038894443e+00	(-4.89645835260471e+01dB,-9.02918435486017e+01°)
1.15345325782109e+00	(-4.89445837800316e+01dB,-9.02925163302676e+01°)
1.15611224219210e+00	(-4.89245840351885e+01dB,-9.02931906629442e+01°)
1.15877735615512e+00	(-4.89045842915233e+01dB,-9.02938665502076e+01°)
1.16144861384034e+00	(-4.88845845490415e+01dB,-9.02945439956420e+01°)
1.16412602941049e+00	(-4.88645848077486e+01dB,-9.02952230028401e+01°)
1.16680961706096e+00	(-4.88445850676499e+01dB,-9.02959035754026e+01°)
1.16949939101987e+00	(-4.88245853287511e+01dB,-9.02965857169388e+01°)
1.17219536554813e+00	(-4.88045855910576e+01dB,-9.02972694310661e+01°)
1.17489755493953e+00	(-4.87845858545751e+01dB,-9.02979547214104e+01°)
1.17760597352080e+00	(-4.87645861193091e+01dB,-9.02986415916060e+01°)
1.18032063565173e+00	(-4.87445863852652e+01dB,-9.02993300452952e+01°)
1.18304155572516e+00	(-4.87245866524491e+01dB,-9.03000200861293e+01°)
1.18576874816716e+00	(-4.87045869208664e+01dB,-9.03007117177675e+01°)
1.18850222743701e+00	(-4.86845871905229e+01dB,-9.03014049438778e+01°)
1.19124200802737e+00	(-4.86645874614242e+01dB,-9.03020997681363e+01°)
1.19398810446427e+00	(-4.86445877335762e+01dB,-9.03027961942280e+01°)
1.19674053130724e+00	(-4.86245880069846e+01dB,-9.03034942258461e+01°)
1.19949930314937e+00	(-4.86045882816551e+01dB,-9.03041938666923e+01°)
1.20226443461741e+00	(-4.85845885575937e+01dB,-9.03048951204771e+01°)
1.20503594037179e+00	(-4.85645888348061e+01dB,-9.03055979909193e+01°)
1.20781383510677e+00	(-4.85445891132983e+01dB,-9.03063024817464e+01°)
1.21059813355048e+00	(-4.85245893930761e+01dB,-9.03070085966945e+01°)
1.21338885046497e+00	(-4.85045896741455e+01dB,-9.03077163395083e+01°)
1.21618600064636e+00	(-4.84845899565126e+01dB,-9.03084257139411e+01°)
1.21898959892486e+00	(-4.84645902401831e+01dB,-9.03091367237549e+01°)
1.22179966016487e+00	(-4.84445905251632e+01dB,-9.03098493727203e+01°)
1.22461619926504e+00	(-4.84245908114590e+01dB,-9.03105636646167e+01°)
1.22743923115840e+00	(-4.84045910990764e+01dB,-9.03112796032323e+01°)
1.23026877081238e+00	(-4.83845913880217e+01dB,-9.03119971923637e+01°)
1.23310483322890e+00	(-4.83645916783008e+01dB,-9.03127164358167e+01°)
1.23594743344450e+00	(-4.83445919699201e+01dB,-9.03134373374054e+01°)
1.23879658653036e+00	(-4.83245922628856e+01dB,-9.03141599009532e+01°)
1.24165230759240e+00	(-4.83045925572036e+01dB,-9.03148841302919e+01°)
1.24451461177138e+00	(-4.82845928528803e+01dB,-9.03156100292623e+01°)
1.24738351424294e+00	(-4.82645931499221e+01dB,-9.03163376017142e+01°)
1.25025903021771e+00	(-4.82445934483351e+01dB,-9.03170668515061e+01°)
1.25314117494141e+00	(-4.82245937481258e+01dB,-9.03177977825053e+01°)
1.25602996369487e+00	(-4.82045940493005e+01dB,-9.03185303985884e+01°)
1.25892541179416e+00	(-4.81845943518656e+01dB,-9.03192647036405e+01°)
1.26182753459066e+00	(-4.81645946558275e+01dB,-9.03200007015560e+01°)
1.26473634747114e+00	(-4.81445949611927e+01dB,-9.03207383962381e+01°)
1.26765186585784e+00	(-4.81245952679676e+01dB,-9.03214777915991e+01°)
1.27057410520853e+00	(-4.81045955761588e+01dB,-9.03222188915603e+01°)
