;Scopy version,8ade0b5a
;Exported on,Thursday April 03/04/2025
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
144,10.2096,-0.05316,-0.41319
145,10.3757,-0.0494223,-0.432186
146,10.5444,-0.0513021,-0.404668
147,10.7159,-0.0513015,-0.428925
148,10.8902,-0.0506402,-0.45777
149,11.0674,-0.0529694,-0.443585
150,11.2474,-0.0486083,-0.443003
151,11.4303,-0.0518314,-0.44962
152,11.6162,-0.0528954,-0.469319
153,11.8052,-0.0524538,-0.478164
154,11.9972,-0.0519145,-0.480228
155,12.1923,-0.051419,-0.501252
156,12.3906,-0.0535342,-0.489671
157,12.5922,-0.0523913,-0.501081
158,12.797,-0.0519715,-0.502911
159,13.0051,-0.0523404,-0.518491
160,13.2166,-0.0526944,-0.529582
161,13.4316,-0.0522799,-0.530772
162,13.6501,-0.0526702,-0.537572
163,13.8721,-0.0524195,-0.553581
164,14.0977,-0.0516965,-0.572355
165,14.327,-0.0540733,-0.56421
166,14.5601,-0.0531166,-0.574084
167,14.7969,-0.0532344,-0.599786
168,15.0376,-0.0544101,-0.607641
169,15.2821,-0.052939,-0.603911
170,15.5307,-0.0531578,-0.618895
171,15.7833,-0.0540583,-0.620436
172,16.04,-0.053757,-0.623879
173,16.3009,-0.053348,-0.645447
174,16.5661,-0.0528856,-0.647023
175,16.8355,-0.0535348,-0.663394
176,17.1093,-0.053229,-0.67281
177,17.3876,-0.0545079,-0.6799
178,17.6704,-0.0539672,-0.687602
179,17.9578,-0.0540235,-0.709066
180,18.2499,-0.055016,-0.710308
181,18.5468,-0.0553082,-0.725547
182,18.8484,-0.0543919,-0.737012
183,19.155,-0.0559286,-0.742653
184,19.4666,-0.0559264,-0.770289
185,19.7832,-0.0547631,-0.770391
186,20.105,-0.054829,-0.785847
187,20.432,-0.0553716,-0.799773
188,20.7643,-0.0554028,-0.830901
189,21.102,-0.0550135,-0.823304
190,21.4453,-0.0559342,-0.841472
191,21.7941,-0.0561641,-0.857143
192,22.1486,-0.0557462,-0.862458
193,22.5088,-0.0561953,-0.870208
194,22.8749,-0.0561156,-0.893905
195,23.247,-0.0561828,-0.906562
196,23.6251,-0.0570083,-0.924054
197,24.0093,-0.0571873,-0.926984
198,24.3999,-0.0562559,-0.954939
199,24.7967,-0.0562987,-0.960025
200,25.2,-0.0570016,-0.983223
201,25.6099,-0.0562937,-1.00258
202,26.0265,-0.0578125,-1.00617
203,26.4498,-0.0574477,-1.02661
204,26.88,-0.0579304,-1.04516
205,27.3172,-0.0578442,-1.06784
206,27.7615,-0.0584101,-1.07203
207,28.2131,-0.0580792,-1.09181
208,28.672,-0.0582572,-1.10973
209,29.1383,-0.0578066,-1.13058
210,29.6123,-0.0591503,-1.15106
211,30.0939,-0.058206,-1.16738
212,30.5834,-0.0580102,-1.18718
213,31.0808,-0.0592814,-1.20158
214,31.5864,-0.060015,-1.22009
215,32.1001,-0.0591892,-1.24718
216,32.6222,-0.0603426,-1.25639
217,33.1528,-0.0603129,-1.28509
218,33.6921,-0.0603233,-1.30191
219,34.2401,-0.0602597,-1.32343
220,34.797,-0.0609946,-1.34898
221,35.363,-0.0613641,-1.36572
222,35.9381,-0.0610667,-1.38183
223,36.5227,-0.0610919,-1.41109
224,37.1167,-0.0622005,-1.43318
225,37.7204,-0.0617337,-1.45477
226,38.334,-0.0626962,-1.47369
227,38.9575,-0.0627785,-1.5009
228,39.5911,-0.0623959,-1.52792
229,40.2351,-0.0626001,-1.53903
230,40.8895,-0.0626676,-1.57567
231,41.5546,-0.064172,-1.60209
232,42.2304,-0.0635966,-1.62555
233,42.9173,-0.0645973,-1.64424
234,43.6154,-0.0655126,-1.66853
235,44.3248,-0.0655266,-1.70744
236,45.0457,-0.0649287,-1.73128
237,45.7784,-0.0648614,-1.74849
238,46.523,-0.0653443,-1.78325
239,47.2797,-0.0641839,-1.81103
240,48.0487,-0.065384,-1.83866
241,48.8302,-0.066613,-1.86147
242,49.6244,-0.0681176,-1.89429
243,50.4316,-0.0659654,-1.92687
244,51.2519,-0.0674331,-1.95343
245,52.0855,-0.0683248,-1.98671
246,52.9327,-0.0696046,-2.01647
247,53.7936,-0.0691287,-2.05
248,54.6686,-0.0706364,-2.07995
249,55.5578,-0.0708745,-2.1198
250,56.4614,-0.0708704,-2.15019
251,57.3798,-0.0711776,-2.1843
252,58.3131,-0.0707416,-2.23235
253,59.2615,-0.0706231,-2.24715
254,60.2254,-0.0717464,-2.2896
255,61.205,-0.0718913,-2.31844
256,62.2005,-0.0716479,-2.36927
257,63.2122,-0.0728056,-2.40633
258,64.2403,-0.0724265,-2.44572
259,65.2852,-0.0740718,-2.47079
260,66.3471,-0.0750189,-2.50737
261,67.4262,-0.0751235,-2.56591
262,68.5229,-0.0750199,-2.59556
263,69.6374,-0.0767931,-2.65619
264,70.7701,-0.0758807,-2.69075
265,71.9212,-0.0767427,-2.72681
266,73.091,-0.0771114,-2.76263
267,74.2798,-0.0785036,-2.79404
268,75.488,-0.0784877,-2.83706
269,76.7158,-0.0777771,-2.91603
270,77.9636,-0.0818283,-2.93865
271,79.2317,-0.079525,-2.99053
272,80.5204,-0.0830156,-3.04187
273,81.8301,-0.0835205,-3.0963
274,83.161,-0.0820913,-3.12502
275,84.5137,-0.0826912,-3.20291
276,85.8883,-0.0844829,-3.21642
277,87.2853,-0.088169,-3.29631
278,88.705,-0.0834106,-3.33571
279,90.1478,-0.0851594,-3.38961
280,91.614,-0.0881982,-3.45176
281,93.1041,-0.085666,-3.47705
282,94.6185,-0.084899,-3.55312
283,96.1575,-0.0885377,-3.61514
284,97.7215,-0.0889968,-3.6518
285,99.3109,-0.0873304,-3.72985
286,100.926,-0.0903634,-3.7877
287,102.568,-0.0937288,-3.89067
288,104.236,-0.0925549,-3.91433
289,105.931,-0.0982964,-3.98911
290,107.654,-0.0969273,-4.038
291,109.405,-0.0913679,-4.09537
292,111.185,-0.0965075,-4.16348
293,112.993,-0.105174,-4.20565
294,114.831,-0.0988081,-4.29084
295,116.699,-0.102757,-4.39654
296,118.597,-0.107353,-4.43403
297,120.526,-0.102955,-4.50357
298,122.486,-0.0984295,-4.58887
299,124.479,-0.100973,-4.6692
300,126.503,-0.105184,-4.72421
301,128.561,-0.109602,-4.83028
302,130.652,-0.109377,-4.87842
303,132.777,-0.112812,-4.98515
304,134.937,-0.1139,-5.03982
305,137.131,-0.114209,-5.05113
306,139.362,-0.119556,-5.19194
307,141.629,-0.115459,-5.29136
308,143.932,-0.109855,-5.41294
309,146.273,-0.110917,-5.46219
310,148.652,-0.126688,-5.52011
311,151.07,-0.120489,-5.64332
312,153.528,-0.126251,-5.68712
313,156.025,-0.124925,-5.77787
314,158.562,-0.128716,-5.89986
315,161.141,-0.127778,-5.97702
316,163.762,-0.131541,-6.08578
317,166.426,-0.134216,-6.15478
318,169.133,-0.13588,-6.29697
319,171.884,-0.131073,-6.35902
320,174.68,-0.133327,-6.5119
321,177.521,-0.151016,-6.61856
322,180.408,-0.144063,-6.57535
323,183.343,-0.143748,-6.7866
324,186.325,-0.142492,-6.85629
325,189.355,-0.156768,-7.06934
326,192.435,-0.139199,-7.20971
327,195.565,-0.159822,-7.23349
328,198.746,-0.16569,-7.26239
329,201.979,-0.158487,-7.45203
330,205.264,-0.168345,-7.62694
331,208.602,-0.183183,-7.76528
332,211.995,-0.17666,-7.81223
333,215.443,-0.155507,-7.83868
334,218.948,-0.165048,-8.09066
335,222.509,-0.156414,-8.09743
336,226.128,-0.179882,-8.39684
337,229.806,-0.183,-8.43989
338,233.544,-0.202453,-8.65813
339,237.342,-0.199366,-8.72841
340,241.203,-0.217653,-8.74306
341,245.126,-0.21162,-8.90752
342,249.113,-0.198523,-9.19604
343,253.165,-0.208794,-9.49803
344,257.283,-0.223818,-9.56609
345,261.467,-0.219415,-9.45949
346,265.72,-0.208711,-9.75844
347,270.042,-0.22378,-9.86584
348,274.434,-0.225701,-9.79414
349,278.898,-0.208377,-10.318
350,283.434,-0.24825,-10.4815
351,288.044,-0.23803,-10.3782
352,292.729,-0.248068,-10.5804
353,297.491,-0.240381,-10.7889
354,302.329,-0.255572,-10.9629
355,307.247,-0.262191,-11.162
356,312.244,-0.261441,-11.3586
357,317.323,-0.269055,-11.5233
358,322.484,-0.275991,-11.7288
359,327.729,-0.279435,-11.9031
360,333.06,-0.289794,-12.0892
361,338.477,-0.29211,-12.2313
362,343.983,-0.294984,-12.5138
363,349.578,-0.294165,-12.6122
364,355.263,-0.331252,-12.9106
365,361.042,-0.305774,-12.8918
366,366.914,-0.359084,-13.3559
367,372.882,-0.295564,-13.2907
368,378.947,-0.289255,-13.8178
369,385.111,-0.354823,-14.3312
370,391.375,-0.36141,-14.1848
371,397.74,-0.354935,-14.1714
372,404.21,-0.373389,-14.8129
373,410.784,-0.438001,-14.6683
374,417.466,-0.379979,-15.4865
375,424.256,-0.39404,-15.1874
376,431.156,-0.443572,-15.5699
377,438.169,-0.365265,-15.4704
378,445.296,-0.464759,-15.4468
379,452.539,-0.419666,-16.2568
380,459.899,-0.497257,-16.3004
381,467.38,-0.391701,-17.0037
382,474.981,-0.481794,-17.0402
383,482.707,-0.429259,-17.1314
384,490.558,-0.577818,-17.3579
385,498.537,-0.521066,-17.7492
386,506.646,-0.491092,-17.6976
387,514.887,-0.50454,-18.5185
388,523.261,-0.569657,-18.4597
389,531.772,-0.609566,-18.696
390,540.422,-0.570829,-19.1328
391,549.212,-0.583363,-19.0547
392,558.145,-0.634682,-19.8591
393,567.223,-0.603344,-20.2946
394,576.449,-0.587364,-20.0376
395,585.825,-0.632632,-20.7751
396,595.353,-0.598297,-20.7978
397,605.037,-0.689233,-21.2553
398,614.878,-0.666739,-21.1302
399,624.879,-0.713075,-21.8872
400,635.043,-0.795906,-22.2309
401,645.372,-0.749866,-22.5009
402,655.869,-0.809505,-22.5215
403,666.536,-0.785831,-23.2281
404,677.378,-0.751157,-23.1929
405,688.395,-0.831984,-23.8179
406,699.592,-0.90458,-24.3994
407,710.971,-0.838876,-24.4884
408,722.535,-0.876781,-24.6113
409,734.287,-0.904176,-24.938
410,746.23,-0.927227,-25.7065
411,758.368,-1.03266,-26.2595
412,770.703,-0.942785,-26.2649
413,783.238,-0.975965,-27.2116
414,795.978,-1.04311,-27.4495
415,808.924,-1.06154,-27.4294
416,822.082,-1.14413,-27.5838
417,835.453,-1.16803,-28.5274
418,849.042,-1.19305,-29.0049
419,862.851,-1.21354,-28.861
420,876.886,-1.16011,-29.5557
421,891.148,-1.15075,-29.8177
422,905.643,-1.2377,-30.5645
423,920.373,-1.28614,-30.6337
424,935.343,-1.24433,-30.949
425,950.557,-1.34377,-31.6709
426,966.017,-1.36331,-32.067
427,981.73,-1.52799,-32.4775
428,997.698,-1.48006,-33.1208
429,1013.93,-1.47631,-33.205
430,1030.42,-1.53284,-33.8655
431,1047.18,-1.52477,-34.3494
432,1064.21,-1.6162,-34.777
433,1081.52,-1.62346,-35.4907
434,1099.11,-1.69719,-35.6881
435,1116.99,-1.72522,-35.8131
436,1135.15,-1.79003,-36.6851
437,1153.62,-1.78647,-37.1259
438,1172.38,-1.84335,-37.7673
439,1191.45,-1.91319,-38.132
440,1210.83,-1.91235,-38.3921
441,1230.52,-1.98661,-39.25
442,1250.54,-2.07854,-39.1508
443,1270.88,-2.13483,-40.0456
444,1291.55,-2.18145,-40.9274
445,1312.56,-2.18212,-41.0838
446,1333.91,-2.33514,-41.5341
447,1355.6,-2.29515,-41.8315
448,1377.65,-2.3845,-42.6223
449,1400.06,-2.39545,-43.5162
450,1422.83,-2.4396,-43.4792
451,1445.97,-2.53983,-43.9582
452,1469.49,-2.61022,-44.6511
453,1493.39,-2.7107,-44.7264
454,1517.68,-2.67649,-46.093
455,1542.37,-2.83752,-46.5114
456,1567.46,-2.90774,-46.7593
457,1592.95,-2.96775,-47.2077
458,1618.86,-3.00758,-47.5444
459,1645.19,-3.08159,-48.7375
460,1671.95,-3.18339,-48.9134
461,1699.14,-3.15186,-49.9603
462,1726.78,-3.20513,-50.569
463,1754.87,-3.2528,-51.1659
464,1783.41,-3.39522,-51.0124
465,1812.42,-3.4722,-51.3882
466,1841.9,-3.62174,-52.2125
467,1871.86,-3.66802,-52.1292
468,1902.3,-3.70764,-53.4705
469,1933.24,-3.83728,-54.0358
470,1964.69,-3.75108,-54.4028
471,1996.64,-3.95844,-55.1321
472,2029.12,-3.97905,-56.049
473,2062.12,-3.97504,-55.6348
474,2095.66,-4.17481,-56.2608
475,2129.75,-4.37917,-56.6443
476,2164.39,-4.30011,-57.9977
477,2199.59,-4.33074,-59.0293
478,2235.37,-4.57068,-59.3923
479,2271.73,-4.62528,-59.5242
480,2308.68,-4.63536,-60.5668
481,2346.23,-4.83903,-60.4449
482,2384.39,-4.88737,-62.2528
483,2423.17,-5.09006,-61.6546
484,2462.59,-5.12643,-62.3202
485,2502.64,-5.08549,-61.9492
486,2543.35,-5.1938,-64.0357
487,2584.71,-5.44786,-63.87
488,2626.75,-5.5035,-64.6181
489,2669.48,-5.45652,-64.1738
490,2712.9,-5.80644,-65.2045
491,2757.02,-5.8928,-66.4206
492,2801.87,-5.8535,-67.3387
493,2847.44,-5.94421,-67.099
494,2893.75,-6.09437,-68.0852
495,2940.82,-6.19143,-68.4614
496,2988.65,-6.30218,-70.4321
497,3037.26,-6.53067,-68.5768
498,3086.66,-6.45993,-71.3605
499,3136.87,-6.43348,-70.6944
500,3187.89,-6.58709,-72.0361
501,3239.74,-6.65347,-71.8687
502,3292.44,-6.75782,-72.4527
503,3345.99,-6.9831,-74.1672
504,3400.41,-6.9805,-74.0632
505,3455.72,-7.33062,-75.5652
506,3511.93,-7.26704,-75.9657
507,3569.05,-7.5231,-75.1302
508,3627.1,-7.6735,-75.8826
509,3686.1,-7.67945,-76.241
510,3746.05,-7.77052,-77.1464
511,3806.98,-8.16855,-77.5323
512,3868.9,-8.07745,-76.5108
513,3931.83,-7.99812,-77.7781
514,3995.78,-8.38044,-79.1237
515,4060.77,-8.44173,-80.0489
516,4126.82,-8.51224,-79.2551
517,4193.94,-8.95737,-80.248
518,4262.16,-8.98203,-82.9447
519,4331.48,-9.00937,-82.1984
520,4401.94,-9.06437,-83.3167
521,4473.53,-9.28419,-81.1868
522,4546.3,-9.46728,-81.3414
523,4620.24,-9.41632,-84.4034
524,4695.39,-9.48799,-83.3123
525,4771.76,-10.0722,-85.5537
526,4849.37,-9.845,-86.1425
527,4928.25,-10.1252,-84.6858
528,5008.41,-10.2811,-86.3571
529,5089.87,-10.4019,-87.6108
530,5172.66,-10.5144,-88.8029
531,5256.79,-10.5929,-88.3103
532,5342.29,-10.8363,-88.2251
533,5429.19,-10.7069,-89.2446
534,5517.49,-10.8745,-90.0785
535,5607.23,-11.1393,-91.5737
536,5698.44,-11.305,-91.2088
537,5791.12,-11.376,-90.394
538,5885.32,-11.5789,-92.2695
539,5981.04,-11.5214,-92.9898
540,6078.32,-11.8972,-93.2732
541,6177.19,-11.9563,-94.8394
542,6277.66,-12.1537,-94.761
543,6379.77,-12.2129,-95.8564
544,6483.53,-12.3448,-95.3252
545,6588.99,-12.6758,-95.1535
546,6696.16,-12.6746,-96.3258
547,6805.07,-12.7518,-97.9077
548,6915.76,-13.0179,-97.5882
549,7028.24,-13.0419,-98.9946
550,7142.56,-13.3155,-98.6571
551,7258.73,-13.5611,-100.093
552,7376.8,-13.6881,-99.5787
553,7496.78,-13.8309,-99.6843
554,7618.72,-13.7941,-100.742
555,7742.64,-14.0982,-101.253
556,7868.57,-14.119,-101.148
557,7996.55,-14.41,-102.431
558,8126.62,-14.4748,-102.62
559,8258.8,-14.7292,-104.502
560,8393.13,-14.8204,-104.237
561,8529.64,-15.1493,-105.621
562,8668.38,-15.249,-105.506
563,8809.37,-15.3739,-105.752
564,8952.66,-15.7193,-106.47
565,9098.27,-15.7245,-107.995
566,9246.26,-15.9264,-107.344
567,9396.65,-16.0619,-106.756
568,9549.49,-16.0725,-107.777
569,9704.81,-16.4136,-108.766
570,9862.66,-16.5063,-110.631
571,10023.1,-16.6997,-110.159
572,10186.1,-16.8764,-110.632
573,10351.8,-17.0508,-110.757
574,10520.2,-17.2661,-111.651
575,10691.3,-17.387,-112.573
576,10865.2,-17.6205,-112.794
577,11041.9,-17.7344,-112.942
578,11221.5,-17.9899,-113.858
579,11404,-18.1516,-113.988
580,11589.5,-18.3827,-114.801
581,11778,-18.523,-115.337
582,11969.6,-18.7222,-115.37
583,12164.2,-18.8676,-116.645
584,12362.1,-19.0457,-116.931
585,12563.2,-19.2712,-117.501
586,12767.5,-19.4799,-117.62
587,12975.2,-19.6337,-118.383
588,13186.2,-19.7812,-119.324
589,13400.7,-20.0029,-119.684
590,13618.7,-20.1476,-119.723
591,13840.2,-20.4351,-120.86
592,14065.3,-20.5985,-121.225
593,14294,-20.7847,-122.156
594,14526.5,-21.0583,-121.821
595,14762.8,-21.1462,-122.595
596,15002.9,-21.4283,-122.958
597,15247,-21.5824,-123.639
598,15495,-21.7897,-123.999
599,15747,-22.0021,-124.535
600,16003.1,-22.1398,-125.668
601,16263.4,-22.3454,-124.85
602,16527.9,-22.6122,-125.982
603,16796.7,-22.8136,-126.453
604,17069.9,-23.0383,-126.792
605,17347.6,-23.2613,-127.492
606,17629.8,-23.4282,-128.186
607,17916.5,-23.7155,-128.007
608,18207.9,-23.8212,-129.354
609,18504.1,-24.0791,-129.209
610,18805,-24.3325,-129.77
611,19110.9,-24.5768,-130.364
612,19421.7,-24.8239,-130.196
613,19737.6,-24.922,-130.821
614,20058.7,-25.1736,-132.022
615,20384.9,-25.3965,-131.918
616,20716.5,-25.6731,-132.201
617,21053.5,-25.7365,-131.855
618,21395.9,-26.0264,-133.445
619,21743.9,-26.3292,-132.698
620,22097.6,-26.5376,-133.763
621,22457,-26.7045,-134.372
622,22822.2,-26.8936,-134.078
623,23193.5,-27.0924,-135.114
624,23570.7,-27.3987,-134.732
625,23954.1,-27.6547,-135.711
626,24343.7,-27.8605,-136.323
627,24739.6,-27.9258,-137.177
628,25142,-28.204,-137.144
629,25551,-28.4576,-137.55
630,25966.6,-28.7359,-137.769
631,26388.9,-29.0414,-138.483
632,26818.1,-29.1531,-137.999
633,27254.3,-29.3512,-138.972
634,27697.6,-29.6632,-139.421
635,28148.1,-29.897,-139.572
636,28606,-30.0945,-140.884
637,29071.2,-30.5,-140.176
638,29544.1,-30.6593,-141.028
639,30024.6,-30.8472,-141.518
640,30513,-31.177,-141.411
641,31009.3,-31.3663,-141.734
642,31513.6,-31.4867,-142.209
643,32026.2,-31.7317,-142.288
644,32547.1,-31.9687,-142.959
645,33076.5,-32.1643,-142.497
646,33614.5,-32.5391,-143.638
647,34161.2,-32.846,-143.292
648,34716.9,-32.9562,-144.175
649,35281.5,-33.1572,-144.325
650,35855.4,-33.4742,-144.566
651,36438.6,-33.6134,-143.89
652,37031.3,-34.0279,-144.726
653,37633.6,-34.2823,-144.904
654,38245.7,-34.498,-145.355
655,38867.8,-34.6518,-145.937
656,39500,-34.9933,-145.109
657,40142.4,-35.0433,-145.856
658,40795.3,-35.4529,-146.049
659,41458.9,-35.6824,-146.59
660,42133.2,-35.951,-147.616
661,42818.5,-36.2641,-145.639
662,43515,-36.4133,-148.886
663,44222.7,-36.7331,-146.91
664,44942,-37.0173,-146.872
665,45673,-37.467,-147.115
666,46415.9,-37.4708,-147.796
667,47170.8,-37.7462,-148.532
668,47938.1,-38.1266,-147.252
669,48717.8,-38.213,-148.543
670,49510.2,-38.5215,-148.374
671,50315.5,-38.7884,-148.22
672,51133.9,-38.9849,-149.249
673,51965.6,-39.2434,-150.187
674,52810.8,-39.5961,-150.57
675,53669.8,-39.7012,-149.447
676,54542.7,-39.9981,-149.633
677,55429.9,-40.2139,-149.438
678,56331.4,-40.5775,-149.501
679,57247.7,-40.6061,-149.969
680,58178.8,-40.9062,-151.116
681,59125.1,-41.0276,-150.508
682,60086.8,-41.3402,-150.939
683,61064.1,-41.6704,-151.596
684,62057.3,-41.8625,-150.907
685,63066.7,-42.3136,-151.518
686,64092.4,-42.3271,-151.299
687,65134.9,-42.5917,-150.637
688,66194.3,-42.8372,-151.147
689,67271,-43.1703,-152.911
690,68365.2,-43.3572,-151.609
691,69477.1,-43.5654,-152.996
692,70607.2,-43.9821,-151.651
693,71755.6,-44.3674,-151.291
694,72922.7,-44.551,-153.133
695,74108.8,-44.5239,-151.874
696,75314.2,-45.0794,-153.746
697,76539.2,-45.1752,-152.743
698,77784.1,-45.3111,-152.281
699,79049.3,-45.7737,-152.06
700,80335,-46.2073,-154.211
701,81641.7,-46.6527,-153.405
702,82969.6,-46.5312,-153.844
703,84319.1,-46.8078,-154.786
704,85690.6,-46.7476,-153.872
705,87084.3,-47.5466,-154.121
706,88500.7,-47.709,-155.23
707,89940.2,-47.8316,-152.445
708,91403.1,-48.2898,-154.091
709,92889.8,-48.1201,-153.677
710,94400.6,-48.5219,-152.898
711,95936.1,-48.9611,-154.749
712,97496.5,-49.1345,-151.14
713,99082.3,-49.2083,-154.69
714,100694,-49.4384,-155.406
715,102332,-49.6583,-154.219
716,103996,-49.7585,-153.899
717,105688,-50.101,-155.982
718,107407,-50.2464,-154.748
719,109154,-50.8938,-152.947
720,110929,-51.0274,-153.499
721,112733,-51.449,-155.714
722,114567,-51.6278,-154.431
723,116430,-51.9487,-154.326
724,118324,-52.2131,-156.425
725,120249,-52.3245,-155.78
726,122204,-52.3657,-153.393
727,124192,-53.5128,-154.728
728,126212,-53.3229,-152.287
729,128265,-54.1789,-155.65
730,130351,-54.6341,-155.461
731,132471,-55.4224,-154.765
732,134626,-55.4214,-153.392
733,136816,-55.6304,-154.831
734,139041,-55.8514,-155.05
